Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	9.0000	0.9949	0.9830
2	9.0000	0.9949	0.9830
3	9.0000	0.9949	0.9830
4	9.0000	0.9949	0.9830
5	13.0000	1.4371	1.4198
6	7.0000	0.7738	0.7645
7	9.0000	0.9949	0.9830
8	9.0000	0.9949	0.9830
9	10.0000	1.1055	1.0922
10	9.0000	0.9949	0.9830
11	10.0000	1.1055	1.0922
12	8.0000	0.8844	0.8737
13	9.0000	0.9949	0.9830
14	9.0000	0.9949	0.9830
15	9.0000	0.9949	0.9830
16	7.0000	0.7738	0.7645
17	11.0000	1.2160	1.2014
18	8.0000	0.8844	0.8737
19	8.0000	0.8844	0.8737
20	10.0000	1.1055	1.0922
21	8.0000	0.8844	0.8737
22	9.0000	0.9949	0.9830
23	9.0000	0.9949	0.9830
24	6.0000	0.6633	0.6553
25	10.0000	1.1055	1.0922
26	10.0000	1.1055	1.0922
27	7.0000	0.7738	0.7645
28	7.0000	0.7738	0.7645
29	12.0000	1.3266	1.3106
30	7.0000	0.7738	0.7645
31	12.0000	1.3266	1.3106
32	9.0000	0.9949	0.9830
33	3.0000	0.3316	0.3277
34	11.0000	1.2160	1.2014
35	7.0000	0.7738	0.7645
36	9.0000	0.9949	0.9830
37	9.0000	0.9949	0.9830
38	10.0000	1.1055	1.0922
39	9.0000	0.9949	0.9830
40	8.0000	0.8844	0.8737
41	12.0000	1.3266	1.3106
42	9.0000	0.9949	0.9830
43	12.0000	1.3266	1.3106
44	9.0000	0.9949	0.9830
45	13.0000	1.4371	1.4198
46	8.0000	0.8844	0.8737
47	9.0000	0.9949	0.9830
48	7.0000	0.7738	0.7645
49	9.0000	0.9949	0.9830
50	9.0000	0.9949	0.9830
51	9.0000	0.9949	0.9830
52	8.0000	0.8844	0.8737
53	9.0000	0.9949	0.9830
54	8.0000	0.8844	0.8737
55	9.0000	0.9949	0.9830
56	10.0000	1.1055	1.0922
57	7.0000	0.7738	0.7645
58	7.0000	0.7738	0.7645
59	7.0000	0.7738	0.7645
60	8.0000	0.8844	0.8737
61	10.0000	1.1055	1.0922
62	9.0000	0.9949	0.9830
63	10.0000	1.1055	1.0922
64	7.0000	0.7738	0.7645
65	7.0000	0.7738	0.7645
66	7.0000	0.7738	0.7645
67	11.0000	1.2160	1.2014
68	7.0000	0.7738	0.7645
69	6.0000	0.6633	0.6553
70	7.0000	0.7738	0.7645
71	9.0000	0.9949	0.9830
72	7.0000	0.7738	0.7645
73	8.0000	0.8844	0.8737
74	9.0000	0.9949	0.9830
75	11.0000	1.2160	1.2014
76	9.0000	0.9949	0.9830
77	9.0000	0.9949	0.9830
78	9.0000	0.9949	0.9830
79	10.0000	1.1055	1.0922
80	11.0000	1.2160	1.2014
81	9.0000	0.9949	0.9830
82	6.0000	0.6633	0.6553
83	9.0000	0.9949	0.9830
84	9.0000	0.9949	0.9830
85	8.0000	0.8844	0.8737
86	9.0000	0.9949	0.9830
87	8.0000	0.8844	0.8737
88	9.0000	0.9949	0.9830
89	9.0000	0.9949	0.9830
90	9.0000	0.9949	0.9830
91	6.0000	0.6633	0.6553
92	9.0000	0.9949	0.9830
93	10.0000	1.1055	1.0922
94	8.0000	0.8844	0.8737
95	6.0000	0.6633	0.6553
96	11.0000	1.2160	1.2014
97	12.0000	1.3266	1.3106
98	8.0000	0.8844	0.8737
99	10.0000	1.1055	1.0922
100	9.0000	0.9949	0.9830
101	7.0000	0.7738	0.7645
102	8.0000	0.8844	0.8737
103	11.0000	1.2160	1.2014
104	9.0000	0.9949	0.9830
105	12.0000	1.3266	1.3106
106	8.0000	0.8844	0.8737
107	9.0000	0.9949	0.9830
108	8.0000	0.8844	0.8737
109	10.0000	1.1055	1.0922
110	9.0000	0.9949	0.9830
111	11.0000	1.2160	1.2014
112	9.0000	0.9949	0.9830
113	10.0000	1.1055	1.0922
114	9.0000	0.9949	0.9830
115	9.0000	0.9949	0.9830
116	8.0000	0.8844	0.8737
117	9.0000	0.9949	0.9830
118	7.0000	0.7738	0.7645
119	8.0000	0.8844	0.8737
120	7.0000	0.7738	0.7645
121	10.0000	1.1055	1.0922
122	10.0000	1.1055	1.0922
123	7.0000	0.7738	0.7645
124	10.0000	1.1055	1.0922
125	6.0000	0.6633	0.6553
126	9.0000	0.9949	0.9830
127	11.0000	1.2160	1.2014
128	7.0000	0.7738	0.7645
129	10.0000	1.1055	1.0922
130	10.0000	1.1055	1.0922
131	7.0000	0.7738	0.7645
132	9.0000	0.9949	0.9830
133	7.0000	0.7738	0.7645
134	13.0000	1.4371	1.4198
135	10.0000	1.1055	1.0922
136	10.0000	1.1055	1.0922
137	11.0000	1.2160	1.2014
138	9.0000	0.9949	0.9830
139	9.0000	0.9949	0.9830
140	7.0000	0.7738	0.7645
141	11.0000	1.2160	1.2014
142	9.0000	0.9949	0.9830
143	11.0000	1.2160	1.2014
144	9.0000	0.9949	0.9830
145	12.0000	1.3266	1.3106
146	10.0000	1.1055	1.0922
147	10.0000	1.1055	1.0922
148	10.0000	1.1055	1.0922
149	9.0000	0.9949	0.9830
150	10.0000	1.1055	1.0922
151	12.0000	1.3266	1.3106
152	3.0000	0.3316	0.3277
153	10.0000	1.1055	1.0922
154	10.0000	1.1055	1.0922
155	12.0000	1.3266	1.3106
156	10.0000	1.1055	1.0922
157	10.0000	1.1055	1.0922
158	7.0000	0.7738	0.7645
159	9.0000	0.9949	0.9830
160	9.0000	0.9949	0.9830
161	9.0000	0.9949	0.9830
162	7.0000	0.7738	0.7645
163	7.0000	0.7738	0.7645
164	7.0000	0.7738	0.7645
165	9.0000	0.9949	0.9830
166	9.0000	0.9949	0.9830
167	11.0000	1.2160	1.2014
168	6.0000	0.6633	0.6553
169	9.0000	0.9949	0.9830
170	7.0000	0.7738	0.7645
171	7.0000	0.7738	0.7645
172	9.0000	0.9949	0.9830
173	7.0000	0.7738	0.7645
174	9.0000	0.9949	0.9830
175	7.0000	0.7738	0.7645
176	12.0000	1.3266	1.3106
177	9.0000	0.9949	0.9830
178	9.0000	0.9949	0.9830
179	11.0000	1.2160	1.2014
180	7.0000	0.7738	0.7645
181	10.0000	1.1055	1.0922
182	9.0000	0.9949	0.9830
183	5.0000	0.5527	0.5461
184	11.0000	1.2160	1.2014
185	7.0000	0.7738	0.7645
186	11.0000	1.2160	1.2014
187	8.0000	0.8844	0.8737
188	9.0000	0.9949	0.9830
189	11.0000	1.2160	1.2014
190	10.0000	1.1055	1.0922
191	12.0000	1.3266	1.3106
192	9.0000	0.9949	0.9830
193	10.0000	1.1055	1.0922
194	10.0000	1.1055	1.0922
195	7.0000	0.7738	0.7645
196	8.0000	0.8844	0.8737
197	11.0000	1.2160	1.2014
198	9.0000	0.9949	0.9830
199	9.0000	0.9949	0.9830
200	9.0000	0.9949	0.9830
201	10.0000	1.1055	1.0922
202	11.0000	1.2160	1.2014
203	10.0000	1.1055	1.0922
204	9.0000	0.9949	0.9830
205	12.0000	1.3266	1.3106
206	10.0000	1.1055	1.0922
207	9.0000	0.9949	0.9830
208	8.0000	0.8844	0.8737
209	11.0000	1.2160	1.2014
210	6.0000	0.6633	0.6553
211	6.0000	0.6633	0.6553
212	11.0000	1.2160	1.2014
213	10.0000	1.1055	1.0922
214	9.0000	0.9949	0.9830
215	12.0000	1.3266	1.3106
216	9.0000	0.9949	0.9830
217	10.0000	1.1055	1.0922
218	9.0000	0.9949	0.9830
219	13.0000	1.4371	1.4198
220	11.0000	1.2160	1.2014
221	6.0000	0.6633	0.6553
222	7.0000	0.7738	0.7645
223	8.0000	0.8844	0.8737
224	8.0000	0.8844	0.8737
225	8.0000	0.8844	0.8737
