Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	5.0000	0.9950	0.9768
2	7.0000	1.3930	1.3675
3	7.0000	1.3930	1.3675
4	5.0000	0.9950	0.9768
5	3.0000	0.5970	0.5861
6	6.0000	1.1940	1.1721
7	4.0000	0.7960	0.7814
8	5.0000	0.9950	0.9768
9	7.0000	1.3930	1.3675
10	6.0000	1.1940	1.1721
11	7.0000	1.3930	1.3675
12	7.0000	1.3930	1.3675
13	5.0000	0.9950	0.9768
14	6.0000	1.1940	1.1721
15	7.0000	1.3930	1.3675
16	3.0000	0.5970	0.5861
17	4.0000	0.7960	0.7814
18	3.0000	0.5970	0.5861
19	7.0000	1.3930	1.3675
20	7.0000	1.3930	1.3675
21	3.0000	0.5970	0.5861
22	0.0000	0.0000	0.0000
23	7.0000	1.3930	1.3675
24	3.0000	0.5970	0.5861
25	5.0000	0.9950	0.9768
26	7.0000	1.3930	1.3675
27	3.0000	0.5970	0.5861
28	4.0000	0.7960	0.7814
29	5.0000	0.9950	0.9768
30	6.0000	1.1940	1.1721
31	3.0000	0.5970	0.5861
32	7.0000	1.3930	1.3675
33	3.0000	0.5970	0.5861
34	3.0000	0.5970	0.5861
35	6.0000	1.1940	1.1721
36	5.0000	0.9950	0.9768
37	6.0000	1.1940	1.1721
38	7.0000	1.3930	1.3675
39	5.0000	0.9950	0.9768
40	3.0000	0.5970	0.5861
41	5.0000	0.9950	0.9768
42	5.0000	0.9950	0.9768
43	5.0000	0.9950	0.9768
44	4.0000	0.7960	0.7814
45	3.0000	0.5970	0.5861
46	5.0000	0.9950	0.9768
47	7.0000	1.3930	1.3675
48	6.0000	1.1940	1.1721
49	6.0000	1.1940	1.1721
50	7.0000	1.3930	1.3675
51	7.0000	1.3930	1.3675
52	5.0000	0.9950	0.9768
53	3.0000	0.5970	0.5861
54	7.0000	1.3930	1.3675
55	6.0000	1.1940	1.1721
56	7.0000	1.3930	1.3675
57	4.0000	0.7960	0.7814
58	3.0000	0.5970	0.5861
59	6.0000	1.1940	1.1721
60	5.0000	0.9950	0.9768
61	5.0000	0.9950	0.9768
62	6.0000	1.1940	1.1721
63	7.0000	1.3930	1.3675
64	6.0000	1.1940	1.1721
65	3.0000	0.5970	0.5861
66	6.0000	1.1940	1.1721
67	7.0000	1.3930	1.3675
68	4.0000	0.7960	0.7814
69	3.0000	0.5970	0.5861
70	4.0000	0.7960	0.7814
71	7.0000	1.3930	1.3675
72	5.0000	0.9950	0.9768
73	7.0000	1.3930	1.3675
74	6.0000	1.1940	1.1721
75	3.0000	0.5970	0.5861
76	7.0000	1.3930	1.3675
77	5.0000	0.9950	0.9768
78	6.0000	1.1940	1.1721
79	7.0000	1.3930	1.3675
80	3.0000	0.5970	0.5861
81	7.0000	1.3930	1.3675
82	3.0000	0.5970	0.5861
83	5.0000	0.9950	0.9768
84	5.0000	0.9950	0.9768
85	7.0000	1.3930	1.3675
86	7.0000	1.3930	1.3675
87	7.0000	1.3930	1.3675
88	5.0000	0.9950	0.9768
89	4.0000	0.7960	0.7814
90	0.0000	0.0000	0.0000
91	3.0000	0.5970	0.5861
92	5.0000	0.9950	0.9768
93	5.0000	0.9950	0.9768
94	3.0000	0.5970	0.5861
95	3.0000	0.5970	0.5861
96	3.0000	0.5970	0.5861
97	3.0000	0.5970	0.5861
98	3.0000	0.5970	0.5861
99	3.0000	0.5970	0.5861
100	6.0000	1.1940	1.1721
101	3.0000	0.5970	0.5861
102	3.0000	0.5970	0.5861
103	7.0000	1.3930	1.3675
104	7.0000	1.3930	1.3675
105	3.0000	0.5970	0.5861
106	5.0000	0.9950	0.9768
107	6.0000	1.1940	1.1721
108	5.0000	0.9950	0.9768
109	7.0000	1.3930	1.3675
110	5.0000	0.9950	0.9768
111	3.0000	0.5970	0.5861
112	5.0000	0.9950	0.9768
113	7.0000	1.3930	1.3675
114	6.0000	1.1940	1.1721
115	6.0000	1.1940	1.1721
116	3.0000	0.5970	0.5861
117	6.0000	1.1940	1.1721
118	3.0000	0.5970	0.5861
119	7.0000	1.3930	1.3675
120	3.0000	0.5970	0.5861
121	3.0000	0.5970	0.5861
122	7.0000	1.3930	1.3675
123	6.0000	1.1940	1.1721
124	7.0000	1.3930	1.3675
125	3.0000	0.5970	0.5861
126	4.0000	0.7960	0.7814
127	7.0000	1.3930	1.3675
128	3.0000	0.5970	0.5861
129	5.0000	0.9950	0.9768
130	3.0000	0.5970	0.5861
131	6.0000	1.1940	1.1721
132	5.0000	0.9950	0.9768
133	6.0000	1.1940	1.1721
134	3.0000	0.5970	0.5861
135	7.0000	1.3930	1.3675
136	7.0000	1.3930	1.3675
137	7.0000	1.3930	1.3675
138	4.0000	0.7960	0.7814
139	6.0000	1.1940	1.1721
140	4.0000	0.7960	0.7814
141	7.0000	1.3930	1.3675
142	7.0000	1.3930	1.3675
143	3.0000	0.5970	0.5861
144	4.0000	0.7960	0.7814
145	5.0000	0.9950	0.9768
146	7.0000	1.3930	1.3675
147	7.0000	1.3930	1.3675
148	7.0000	1.3930	1.3675
149	7.0000	1.3930	1.3675
150	7.0000	1.3930	1.3675
151	5.0000	0.9950	0.9768
152	3.0000	0.5970	0.5861
153	7.0000	1.3930	1.3675
154	3.0000	0.5970	0.5861
155	3.0000	0.5970	0.5861
156	3.0000	0.5970	0.5861
157	3.0000	0.5970	0.5861
158	5.0000	0.9950	0.9768
159	0.0000	0.0000	0.0000
160	7.0000	1.3930	1.3675
161	4.0000	0.7960	0.7814
162	6.0000	1.1940	1.1721
163	6.0000	1.1940	1.1721
164	4.0000	0.7960	0.7814
165	7.0000	1.3930	1.3675
166	3.0000	0.5970	0.5861
167	3.0000	0.5970	0.5861
168	3.0000	0.5970	0.5861
169	5.0000	0.9950	0.9768
170	6.0000	1.1940	1.1721
171	4.0000	0.7960	0.7814
172	6.0000	1.1940	1.1721
173	4.0000	0.7960	0.7814
174	3.0000	0.5970	0.5861
175	5.0000	0.9950	0.9768
176	3.0000	0.5970	0.5861
177	5.0000	0.9950	0.9768
178	7.0000	1.3930	1.3675
179	7.0000	1.3930	1.3675
180	3.0000	0.5970	0.5861
181	7.0000	1.3930	1.3675
182	0.0000	0.0000	0.0000
183	0.0000	0.0000	0.0000
184	4.0000	0.7960	0.7814
185	3.0000	0.5970	0.5861
186	7.0000	1.3930	1.3675
187	7.0000	1.3930	1.3675
188	4.0000	0.7960	0.7814
189	4.0000	0.7960	0.7814
190	5.0000	0.9950	0.9768
191	3.0000	0.5970	0.5861
192	5.0000	0.9950	0.9768
193	5.0000	0.9950	0.9768
194	7.0000	1.3930	1.3675
195	6.0000	1.1940	1.1721
196	5.0000	0.9950	0.9768
197	3.0000	0.5970	0.5861
198	6.0000	1.1940	1.1721
199	4.0000	0.7960	0.7814
200	7.0000	1.3930	1.3675
201	5.0000	0.9950	0.9768
202	7.0000	1.3930	1.3675
203	7.0000	1.3930	1.3675
204	4.0000	0.7960	0.7814
205	3.0000	0.5970	0.5861
206	7.0000	1.3930	1.3675
207	6.0000	1.1940	1.1721
208	7.0000	1.3930	1.3675
209	3.0000	0.5970	0.5861
210	3.0000	0.5970	0.5861
211	3.0000	0.5970	0.5861
212	7.0000	1.3930	1.3675
213	3.0000	0.5970	0.5861
214	6.0000	1.1940	1.1721
215	3.0000	0.5970	0.5861
216	3.0000	0.5970	0.5861
217	7.0000	1.3930	1.3675
218	5.0000	0.9950	0.9768
219	5.0000	0.9950	0.9768
220	7.0000	1.3930	1.3675
221	3.0000	0.5970	0.5861
222	3.0000	0.5970	0.5861
223	7.0000	1.3930	1.3675
224	3.0000	0.5970	0.5861
225	7.0000	1.3930	1.3675
226	5.0000	0.9950	0.9768
227	5.0000	0.9950	0.9768
228	3.0000	0.5970	0.5861
229	3.0000	0.5970	0.5861
230	5.0000	0.9950	0.9768
231	6.0000	1.1940	1.1721
232	5.0000	0.9950	0.9768
233	6.0000	1.1940	1.1721
