Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.0000	1.0908	1.0902
2	4.0000	1.0908	1.0902
3	4.0000	1.0908	1.0902
4	4.0000	1.0908	1.0902
5	4.0000	1.0908	1.0902
6	4.0000	1.0908	1.0902
7	3.0000	0.8181	0.8177
8	4.0000	1.0908	1.0902
9	4.0000	1.0908	1.0902
10	4.0000	1.0908	1.0902
11	4.0000	1.0908	1.0902
12	4.0000	1.0908	1.0902
13	4.0000	1.0908	1.0902
14	4.0000	1.0908	1.0902
15	4.0000	1.0908	1.0902
16	3.0000	0.8181	0.8177
17	4.0000	1.0908	1.0902
18	3.0000	0.8181	0.8177
19	4.0000	1.0908	1.0902
20	4.0000	1.0908	1.0902
21	3.0000	0.8181	0.8177
22	2.0000	0.5454	0.5451
23	4.0000	1.0908	1.0902
24	2.0000	0.5454	0.5451
25	4.0000	1.0908	1.0902
26	4.0000	1.0908	1.0902
27	3.0000	0.8181	0.8177
28	3.0000	0.8181	0.8177
29	4.0000	1.0908	1.0902
30	4.0000	1.0908	1.0902
31	4.0000	1.0908	1.0902
32	4.0000	1.0908	1.0902
33	2.0000	0.5454	0.5451
34	4.0000	1.0908	1.0902
35	4.0000	1.0908	1.0902
36	4.0000	1.0908	1.0902
37	4.0000	1.0908	1.0902
38	4.0000	1.0908	1.0902
39	4.0000	1.0908	1.0902
40	3.0000	0.8181	0.8177
41	4.0000	1.0908	1.0902
42	4.0000	1.0908	1.0902
43	4.0000	1.0908	1.0902
44	3.0000	0.8181	0.8177
45	4.0000	1.0908	1.0902
46	4.0000	1.0908	1.0902
47	4.0000	1.0908	1.0902
48	4.0000	1.0908	1.0902
49	4.0000	1.0908	1.0902
50	4.0000	1.0908	1.0902
51	4.0000	1.0908	1.0902
52	4.0000	1.0908	1.0902
53	3.0000	0.8181	0.8177
54	4.0000	1.0908	1.0902
55	4.0000	1.0908	1.0902
56	4.0000	1.0908	1.0902
57	3.0000	0.8181	0.8177
58	3.0000	0.8181	0.8177
59	4.0000	1.0908	1.0902
60	4.0000	1.0908	1.0902
61	4.0000	1.0908	1.0902
62	4.0000	1.0908	1.0902
63	4.0000	1.0908	1.0902
64	4.0000	1.0908	1.0902
65	3.0000	0.8181	0.8177
66	4.0000	1.0908	1.0902
67	4.0000	1.0908	1.0902
68	3.0000	0.8181	0.8177
69	2.0000	0.5454	0.5451
70	3.0000	0.8181	0.8177
71	4.0000	1.0908	1.0902
72	4.0000	1.0908	1.0902
73	4.0000	1.0908	1.0902
74	4.0000	1.0908	1.0902
75	4.0000	1.0908	1.0902
76	4.0000	1.0908	1.0902
77	4.0000	1.0908	1.0902
78	4.0000	1.0908	1.0902
79	4.0000	1.0908	1.0902
