Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	3.0000	1.1610	1.1385
2	3.0000	1.1610	1.1385
3	3.0000	1.1610	1.1385
4	3.0000	1.1610	1.1385
5	2.0000	0.7740	0.7590
6	3.0000	1.1610	1.1385
7	2.0000	0.7740	0.7590
8	3.0000	1.1610	1.1385
9	3.0000	1.1610	1.1385
10	3.0000	1.1610	1.1385
11	3.0000	1.1610	1.1385
12	3.0000	1.1610	1.1385
13	3.0000	1.1610	1.1385
14	3.0000	1.1610	1.1385
15	3.0000	1.1610	1.1385
16	2.0000	0.7740	0.7590
17	2.0000	0.7740	0.7590
18	2.0000	0.7740	0.7590
19	3.0000	1.1610	1.1385
20	3.0000	1.1610	1.1385
21	2.0000	0.7740	0.7590
22	0.0000	0.0000	0.0000
23	3.0000	1.1610	1.1385
24	1.0000	0.3870	0.3795
25	3.0000	1.1610	1.1385
26	3.0000	1.1610	1.1385
27	2.0000	0.7740	0.7590
28	2.0000	0.7740	0.7590
29	3.0000	1.1610	1.1385
30	3.0000	1.1610	1.1385
31	2.0000	0.7740	0.7590
32	3.0000	1.1610	1.1385
33	2.0000	0.7740	0.7590
34	2.0000	0.7740	0.7590
35	3.0000	1.1610	1.1385
36	3.0000	1.1610	1.1385
37	3.0000	1.1610	1.1385
38	3.0000	1.1610	1.1385
39	3.0000	1.1610	1.1385
40	2.0000	0.7740	0.7590
41	3.0000	1.1610	1.1385
42	3.0000	1.1610	1.1385
43	3.0000	1.1610	1.1385
44	2.0000	0.7740	0.7590
45	1.0000	0.3870	0.3795
46	3.0000	1.1610	1.1385
47	3.0000	1.1610	1.1385
48	3.0000	1.1610	1.1385
49	3.0000	1.1610	1.1385
50	3.0000	1.1610	1.1385
51	3.0000	1.1610	1.1385
52	3.0000	1.1610	1.1385
53	1.0000	0.3870	0.3795
54	3.0000	1.1610	1.1385
55	3.0000	1.1610	1.1385
56	3.0000	1.1610	1.1385
57	2.0000	0.7740	0.7590
58	2.0000	0.7740	0.7590
59	3.0000	1.1610	1.1385
60	3.0000	1.1610	1.1385
61	3.0000	1.1610	1.1385
62	3.0000	1.1610	1.1385
63	3.0000	1.1610	1.1385
64	3.0000	1.1610	1.1385
65	2.0000	0.7740	0.7590
66	3.0000	1.1610	1.1385
67	3.0000	1.1610	1.1385
68	2.0000	0.7740	0.7590
69	1.0000	0.3870	0.3795
70	2.0000	0.7740	0.7590
71	3.0000	1.1610	1.1385
72	3.0000	1.1610	1.1385
73	3.0000	1.1610	1.1385
74	3.0000	1.1610	1.1385
75	2.0000	0.7740	0.7590
76	3.0000	1.1610	1.1385
77	3.0000	1.1610	1.1385
78	3.0000	1.1610	1.1385
79	3.0000	1.1610	1.1385
80	2.0000	0.7740	0.7590
81	3.0000	1.1610	1.1385
82	2.0000	0.7740	0.7590
83	3.0000	1.1610	1.1385
84	3.0000	1.1610	1.1385
85	3.0000	1.1610	1.1385
86	3.0000	1.1610	1.1385
87	3.0000	1.1610	1.1385
88	3.0000	1.1610	1.1385
89	2.0000	0.7740	0.7590
90	0.0000	0.0000	0.0000
91	2.0000	0.7740	0.7590
92	3.0000	1.1610	1.1385
93	3.0000	1.1610	1.1385
94	2.0000	0.7740	0.7590
95	1.0000	0.3870	0.3795
96	2.0000	0.7740	0.7590
97	1.0000	0.3870	0.3795
98	2.0000	0.7740	0.7590
99	2.0000	0.7740	0.7590
100	3.0000	1.1610	1.1385
101	2.0000	0.7740	0.7590
102	2.0000	0.7740	0.7590
103	3.0000	1.1610	1.1385
104	3.0000	1.1610	1.1385
105	2.0000	0.7740	0.7590
106	3.0000	1.1610	1.1385
107	3.0000	1.1610	1.1385
108	3.0000	1.1610	1.1385
109	3.0000	1.1610	1.1385
110	3.0000	1.1610	1.1385
111	2.0000	0.7740	0.7590
112	3.0000	1.1610	1.1385
113	3.0000	1.1610	1.1385
114	3.0000	1.1610	1.1385
115	3.0000	1.1610	1.1385
116	2.0000	0.7740	0.7590
117	3.0000	1.1610	1.1385
118	2.0000	0.7740	0.7590
119	3.0000	1.1610	1.1385
120	2.0000	0.7740	0.7590
121	2.0000	0.7740	0.7590
122	3.0000	1.1610	1.1385
123	3.0000	1.1610	1.1385
124	3.0000	1.1610	1.1385
125	2.0000	0.7740	0.7590
126	2.0000	0.7740	0.7590
127	3.0000	1.1610	1.1385
128	2.0000	0.7740	0.7590
129	3.0000	1.1610	1.1385
130	2.0000	0.7740	0.7590
131	3.0000	1.1610	1.1385
132	3.0000	1.1610	1.1385
133	3.0000	1.1610	1.1385
134	2.0000	0.7740	0.7590
135	3.0000	1.1610	1.1385
136	3.0000	1.1610	1.1385
137	3.0000	1.1610	1.1385
138	2.0000	0.7740	0.7590
139	3.0000	1.1610	1.1385
140	2.0000	0.7740	0.7590
141	3.0000	1.1610	1.1385
142	3.0000	1.1610	1.1385
143	2.0000	0.7740	0.7590
144	2.0000	0.7740	0.7590
145	3.0000	1.1610	1.1385
146	3.0000	1.1610	1.1385
147	3.0000	1.1610	1.1385
148	3.0000	1.1610	1.1385
149	3.0000	1.1610	1.1385
150	3.0000	1.1610	1.1385
151	3.0000	1.1610	1.1385
152	1.0000	0.3870	0.3795
153	3.0000	1.1610	1.1385
154	2.0000	0.7740	0.7590
155	2.0000	0.7740	0.7590
156	2.0000	0.7740	0.7590
157	2.0000	0.7740	0.7590
158	3.0000	1.1610	1.1385
159	0.0000	0.0000	0.0000
160	3.0000	1.1610	1.1385
161	2.0000	0.7740	0.7590
162	3.0000	1.1610	1.1385
163	3.0000	1.1610	1.1385
164	2.0000	0.7740	0.7590
165	3.0000	1.1610	1.1385
166	1.0000	0.3870	0.3795
167	2.0000	0.7740	0.7590
168	2.0000	0.7740	0.7590
169	3.0000	1.1610	1.1385
170	3.0000	1.1610	1.1385
171	2.0000	0.7740	0.7590
172	3.0000	1.1610	1.1385
173	2.0000	0.7740	0.7590
174	2.0000	0.7740	0.7590
175	3.0000	1.1610	1.1385
176	2.0000	0.7740	0.7590
177	3.0000	1.1610	1.1385
178	3.0000	1.1610	1.1385
179	3.0000	1.1610	1.1385
180	2.0000	0.7740	0.7590
181	3.0000	1.1610	1.1385
182	0.0000	0.0000	0.0000
183	0.0000	0.0000	0.0000
184	2.0000	0.7740	0.7590
185	2.0000	0.7740	0.7590
186	3.0000	1.1610	1.1385
187	3.0000	1.1610	1.1385
188	2.0000	0.7740	0.7590
189	2.0000	0.7740	0.7590
190	3.0000	1.1610	1.1385
191	2.0000	0.7740	0.7590
192	3.0000	1.1610	1.1385
193	3.0000	1.1610	1.1385
194	3.0000	1.1610	1.1385
195	3.0000	1.1610	1.1385
196	3.0000	1.1610	1.1385
197	2.0000	0.7740	0.7590
198	3.0000	1.1610	1.1385
199	2.0000	0.7740	0.7590
200	3.0000	1.1610	1.1385
201	3.0000	1.1610	1.1385
202	3.0000	1.1610	1.1385
203	3.0000	1.1610	1.1385
204	2.0000	0.7740	0.7590
205	1.0000	0.3870	0.3795
206	3.0000	1.1610	1.1385
207	3.0000	1.1610	1.1385
208	3.0000	1.1610	1.1385
209	2.0000	0.7740	0.7590
210	1.0000	0.3870	0.3795
211	2.0000	0.7740	0.7590
212	3.0000	1.1610	1.1385
213	2.0000	0.7740	0.7590
214	3.0000	1.1610	1.1385
215	2.0000	0.7740	0.7590
216	1.0000	0.3870	0.3795
217	3.0000	1.1610	1.1385
218	3.0000	1.1610	1.1385
219	3.0000	1.1610	1.1385
220	3.0000	1.1610	1.1385
221	1.0000	0.3870	0.3795
222	2.0000	0.7740	0.7590
223	3.0000	1.1610	1.1385
224	2.0000	0.7740	0.7590
225	3.0000	1.1610	1.1385
226	3.0000	1.1610	1.1385
227	3.0000	1.1610	1.1385
228	2.0000	0.7740	0.7590
229	1.0000	0.3870	0.3795
230	3.0000	1.1610	1.1385
231	3.0000	1.1610	1.1385
232	3.0000	1.1610	1.1385
233	3.0000	1.1610	1.1385
234	3.0000	1.1610	1.1385
235	2.0000	0.7740	0.7590
236	3.0000	1.1610	1.1385
237	3.0000	1.1610	1.1385
238	3.0000	1.1610	1.1385
239	3.0000	1.1610	1.1385
240	3.0000	1.1610	1.1385
241	3.0000	1.1610	1.1385
242	3.0000	1.1610	1.1385
243	3.0000	1.1610	1.1385
244	2.0000	0.7740	0.7590
245	3.0000	1.1610	1.1385
246	3.0000	1.1610	1.1385
247	3.0000	1.1610	1.1385
248	3.0000	1.1610	1.1385
249	2.0000	0.7740	0.7590
250	1.0000	0.3870	0.3795
251	3.0000	1.1610	1.1385
252	3.0000	1.1610	1.1385
253	2.0000	0.7740	0.7590
254	0.0000	0.0000	0.0000
255	3.0000	1.1610	1.1385
256	3.0000	1.1610	1.1385
257	2.0000	0.7740	0.7590
258	3.0000	1.1610	1.1385
259	3.0000	1.1610	1.1385
260	2.0000	0.7740	0.7590
261	2.0000	0.7740	0.7590
262	3.0000	1.1610	1.1385
263	3.0000	1.1610	1.1385
264	0.0000	0.0000	0.0000
265	1.0000	0.3870	0.3795
266	3.0000	1.1610	1.1385
267	2.0000	0.7740	0.7590
268	2.0000	0.7740	0.7590
269	2.0000	0.7740	0.7590
270	3.0000	1.1610	1.1385
271	3.0000	1.1610	1.1385
272	3.0000	1.1610	1.1385
273	3.0000	1.1610	1.1385
274	2.0000	0.7740	0.7590
275	3.0000	1.1610	1.1385
276	2.0000	0.7740	0.7590
277	2.0000	0.7740	0.7590
278	3.0000	1.1610	1.1385
279	3.0000	1.1610	1.1385
280	2.0000	0.7740	0.7590
281	3.0000	1.1610	1.1385
282	3.0000	1.1610	1.1385
283	3.0000	1.1610	1.1385
284	2.0000	0.7740	0.7590
285	3.0000	1.1610	1.1385
286	2.0000	0.7740	0.7590
287	3.0000	1.1610	1.1385
288	3.0000	1.1610	1.1385
289	3.0000	1.1610	1.1385
290	3.0000	1.1610	1.1385
291	3.0000	1.1610	1.1385
292	2.0000	0.7740	0.7590
293	3.0000	1.1610	1.1385
294	2.0000	0.7740	0.7590
295	3.0000	1.1610	1.1385
296	3.0000	1.1610	1.1385
297	1.0000	0.3870	0.3795
298	3.0000	1.1610	1.1385
299	3.0000	1.1610	1.1385
300	3.0000	1.1610	1.1385
301	2.0000	0.7740	0.7590
302	3.0000	1.1610	1.1385
303	3.0000	1.1610	1.1385
304	2.0000	0.7740	0.7590
305	2.0000	0.7740	0.7590
306	2.0000	0.7740	0.7590
307	3.0000	1.1610	1.1385
308	2.0000	0.7740	0.7590
309	3.0000	1.1610	1.1385
310	3.0000	1.1610	1.1385
311	3.0000	1.1610	1.1385
312	3.0000	1.1610	1.1385
313	3.0000	1.1610	1.1385
314	3.0000	1.1610	1.1385
315	3.0000	1.1610	1.1385
316	3.0000	1.1610	1.1385
317	3.0000	1.1610	1.1385
318	3.0000	1.1610	1.1385
319	3.0000	1.1610	1.1385
320	2.0000	0.7740	0.7590
321	0.0000	0.0000	0.0000
322	2.0000	0.7740	0.7590
323	3.0000	1.1610	1.1385
324	2.0000	0.7740	0.7590
325	2.0000	0.7740	0.7590
326	3.0000	1.1610	1.1385
327	3.0000	1.1610	1.1385
328	3.0000	1.1610	1.1385
329	3.0000	1.1610	1.1385
330	2.0000	0.7740	0.7590
331	3.0000	1.1610	1.1385
332	3.0000	1.1610	1.1385
333	3.0000	1.1610	1.1385
334	2.0000	0.7740	0.7590
335	3.0000	1.1610	1.1385
336	3.0000	1.1610	1.1385
337	3.0000	1.1610	1.1385
338	3.0000	1.1610	1.1385
339	2.0000	0.7740	0.7590
340	3.0000	1.1610	1.1385
341	3.0000	1.1610	1.1385
342	3.0000	1.1610	1.1385
343	2.0000	0.7740	0.7590
344	3.0000	1.1610	1.1385
345	2.0000	0.7740	0.7590
346	2.0000	0.7740	0.7590
347	3.0000	1.1610	1.1385
348	3.0000	1.1610	1.1385
349	3.0000	1.1610	1.1385
350	3.0000	1.1610	1.1385
351	3.0000	1.1610	1.1385
352	3.0000	1.1610	1.1385
