Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	13.0000	1.0303	1.0261
2	20.0000	1.5850	1.5787
3	12.0000	0.9510	0.9472
4	12.0000	0.9510	0.9472
5	11.0000	0.8718	0.8683
6	12.0000	0.9510	0.9472
7	18.0000	1.4265	1.4208
8	14.0000	1.1095	1.1051
9	14.0000	1.1095	1.1051
10	13.0000	1.0303	1.0261
11	13.0000	1.0303	1.0261
12	14.0000	1.1095	1.1051
13	14.0000	1.1095	1.1051
14	10.0000	0.7925	0.7893
15	14.0000	1.1095	1.1051
16	14.0000	1.1095	1.1051
17	12.0000	0.9510	0.9472
18	12.0000	0.9510	0.9472
19	11.0000	0.8718	0.8683
20	10.0000	0.7925	0.7893
21	12.0000	0.9510	0.9472
22	14.0000	1.1095	1.1051
23	18.0000	1.4265	1.4208
24	14.0000	1.1095	1.1051
25	13.0000	1.0303	1.0261
26	14.0000	1.1095	1.1051
27	9.0000	0.7133	0.7104
28	14.0000	1.1095	1.1051
29	8.0000	0.6340	0.6315
30	11.0000	0.8718	0.8683
31	14.0000	1.1095	1.1051
32	11.0000	0.8718	0.8683
33	12.0000	0.9510	0.9472
34	8.0000	0.6340	0.6315
35	14.0000	1.1095	1.1051
36	12.0000	0.9510	0.9472
37	14.0000	1.1095	1.1051
38	13.0000	1.0303	1.0261
39	11.0000	0.8718	0.8683
40	13.0000	1.0303	1.0261
41	14.0000	1.1095	1.1051
42	12.0000	0.9510	0.9472
43	14.0000	1.1095	1.1051
44	10.0000	0.7925	0.7893
45	12.0000	0.9510	0.9472
46	16.0000	1.2680	1.2629
47	14.0000	1.1095	1.1051
48	16.0000	1.2680	1.2629
49	10.0000	0.7925	0.7893
50	12.0000	0.9510	0.9472
51	12.0000	0.9510	0.9472
52	18.0000	1.4265	1.4208
53	13.0000	1.0303	1.0261
54	13.0000	1.0303	1.0261
55	11.0000	0.8718	0.8683
56	12.0000	0.9510	0.9472
57	14.0000	1.1095	1.1051
58	13.0000	1.0303	1.0261
59	12.0000	0.9510	0.9472
60	10.0000	0.7925	0.7893
61	13.0000	1.0303	1.0261
62	12.0000	0.9510	0.9472
63	13.0000	1.0303	1.0261
64	11.0000	0.8718	0.8683
65	12.0000	0.9510	0.9472
66	8.0000	0.6340	0.6315
67	10.0000	0.7925	0.7893
68	14.0000	1.1095	1.1051
69	12.0000	0.9510	0.9472
70	14.0000	1.1095	1.1051
71	11.0000	0.8718	0.8683
72	12.0000	0.9510	0.9472
73	12.0000	0.9510	0.9472
74	12.0000	0.9510	0.9472
75	13.0000	1.0303	1.0261
76	14.0000	1.1095	1.1051
77	8.0000	0.6340	0.6315
78	16.0000	1.2680	1.2629
79	14.0000	1.1095	1.1051
80	14.0000	1.1095	1.1051
81	13.0000	1.0303	1.0261
82	16.0000	1.2680	1.2629
83	14.0000	1.1095	1.1051
84	14.0000	1.1095	1.1051
85	16.0000	1.2680	1.2629
86	12.0000	0.9510	0.9472
87	14.0000	1.1095	1.1051
88	12.0000	0.9510	0.9472
89	14.0000	1.1095	1.1051
90	12.0000	0.9510	0.9472
91	10.0000	0.7925	0.7893
92	14.0000	1.1095	1.1051
93	18.0000	1.4265	1.4208
94	12.0000	0.9510	0.9472
95	12.0000	0.9510	0.9472
96	16.0000	1.2680	1.2629
97	12.0000	0.9510	0.9472
98	14.0000	1.1095	1.1051
99	14.0000	1.1095	1.1051
100	12.0000	0.9510	0.9472
101	9.0000	0.7133	0.7104
102	8.0000	0.6340	0.6315
103	14.0000	1.1095	1.1051
104	14.0000	1.1095	1.1051
105	14.0000	1.1095	1.1051
106	11.0000	0.8718	0.8683
107	18.0000	1.4265	1.4208
108	12.0000	0.9510	0.9472
109	14.0000	1.1095	1.1051
110	18.0000	1.4265	1.4208
111	12.0000	0.9510	0.9472
112	12.0000	0.9510	0.9472
113	13.0000	1.0303	1.0261
114	13.0000	1.0303	1.0261
115	8.0000	0.6340	0.6315
116	13.0000	1.0303	1.0261
117	12.0000	0.9510	0.9472
118	18.0000	1.4265	1.4208
119	14.0000	1.1095	1.1051
120	12.0000	0.9510	0.9472
121	18.0000	1.4265	1.4208
122	14.0000	1.1095	1.1051
123	11.0000	0.8718	0.8683
124	16.0000	1.2680	1.2629
125	16.0000	1.2680	1.2629
126	14.0000	1.1095	1.1051
127	11.0000	0.8718	0.8683
128	13.0000	1.0303	1.0261
129	10.0000	0.7925	0.7893
130	11.0000	0.8718	0.8683
131	10.0000	0.7925	0.7893
132	14.0000	1.1095	1.1051
133	12.0000	0.9510	0.9472
134	10.0000	0.7925	0.7893
135	12.0000	0.9510	0.9472
136	14.0000	1.1095	1.1051
137	14.0000	1.1095	1.1051
138	12.0000	0.9510	0.9472
139	10.0000	0.7925	0.7893
140	12.0000	0.9510	0.9472
141	14.0000	1.1095	1.1051
142	14.0000	1.1095	1.1051
143	10.0000	0.7925	0.7893
144	16.0000	1.2680	1.2629
145	12.0000	0.9510	0.9472
146	8.0000	0.6340	0.6315
147	12.0000	0.9510	0.9472
148	13.0000	1.0303	1.0261
149	12.0000	0.9510	0.9472
150	14.0000	1.1095	1.1051
151	14.0000	1.1095	1.1051
152	11.0000	0.8718	0.8683
153	14.0000	1.1095	1.1051
154	14.0000	1.1095	1.1051
155	11.0000	0.8718	0.8683
156	18.0000	1.4265	1.4208
157	14.0000	1.1095	1.1051
158	10.0000	0.7925	0.7893
159	14.0000	1.1095	1.1051
160	13.0000	1.0303	1.0261
161	16.0000	1.2680	1.2629
162	11.0000	0.8718	0.8683
163	16.0000	1.2680	1.2629
164	10.0000	0.7925	0.7893
165	16.0000	1.2680	1.2629
166	14.0000	1.1095	1.1051
167	10.0000	0.7925	0.7893
168	13.0000	1.0303	1.0261
169	14.0000	1.1095	1.1051
170	10.0000	0.7925	0.7893
171	14.0000	1.1095	1.1051
172	13.0000	1.0303	1.0261
173	14.0000	1.1095	1.1051
174	12.0000	0.9510	0.9472
175	14.0000	1.1095	1.1051
176	12.0000	0.9510	0.9472
177	14.0000	1.1095	1.1051
178	18.0000	1.4265	1.4208
179	11.0000	0.8718	0.8683
