Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	8.0000	1.0855	1.0678
2	6.0000	0.8141	0.8009
3	9.0000	1.2212	1.2013
4	8.0000	1.0855	1.0678
5	7.0000	0.9498	0.9343
6	7.0000	0.9498	0.9343
7	2.0000	0.2714	0.2670
8	6.0000	0.8141	0.8009
9	7.0000	0.9498	0.9343
10	10.0000	1.3569	1.3348
11	9.0000	1.2212	1.2013
12	8.0000	1.0855	1.0678
13	7.0000	0.9498	0.9343
14	7.0000	0.9498	0.9343
15	8.0000	1.0855	1.0678
16	9.0000	1.2212	1.2013
17	7.0000	0.9498	0.9343
18	9.0000	1.2212	1.2013
19	5.0000	0.6784	0.6674
20	8.0000	1.0855	1.0678
21	6.0000	0.8141	0.8009
22	9.0000	1.2212	1.2013
23	8.0000	1.0855	1.0678
24	7.0000	0.9498	0.9343
25	9.0000	1.2212	1.2013
26	9.0000	1.2212	1.2013
27	6.0000	0.8141	0.8009
28	9.0000	1.2212	1.2013
29	6.0000	0.8141	0.8009
30	8.0000	1.0855	1.0678
31	8.0000	1.0855	1.0678
32	8.0000	1.0855	1.0678
33	9.0000	1.2212	1.2013
34	6.0000	0.8141	0.8009
35	7.0000	0.9498	0.9343
36	9.0000	1.2212	1.2013
37	9.0000	1.2212	1.2013
38	9.0000	1.2212	1.2013
39	6.0000	0.8141	0.8009
40	6.0000	0.8141	0.8009
41	6.0000	0.8141	0.8009
42	7.0000	0.9498	0.9343
43	9.0000	1.2212	1.2013
44	7.0000	0.9498	0.9343
45	8.0000	1.0855	1.0678
46	10.0000	1.3569	1.3348
47	8.0000	1.0855	1.0678
48	7.0000	0.9498	0.9343
49	8.0000	1.0855	1.0678
50	8.0000	1.0855	1.0678
51	8.0000	1.0855	1.0678
52	7.0000	0.9498	0.9343
53	10.0000	1.3569	1.3348
54	8.0000	1.0855	1.0678
55	5.0000	0.6784	0.6674
56	9.0000	1.2212	1.2013
57	3.0000	0.4071	0.4004
58	7.0000	0.9498	0.9343
59	8.0000	1.0855	1.0678
60	9.0000	1.2212	1.2013
61	7.0000	0.9498	0.9343
62	9.0000	1.2212	1.2013
63	7.0000	0.9498	0.9343
64	8.0000	1.0855	1.0678
65	9.0000	1.2212	1.2013
66	4.0000	0.5427	0.5339
67	8.0000	1.0855	1.0678
68	7.0000	0.9498	0.9343
69	7.0000	0.9498	0.9343
70	7.0000	0.9498	0.9343
71	7.0000	0.9498	0.9343
72	6.0000	0.8141	0.8009
73	7.0000	0.9498	0.9343
74	7.0000	0.9498	0.9343
75	8.0000	1.0855	1.0678
76	5.0000	0.6784	0.6674
