Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	4.0000	1.1093	1.0998
2	3.0000	0.8319	0.8249
3	4.0000	1.1093	1.0998
4	4.0000	1.1093	1.0998
5	4.0000	1.1093	1.0998
6	4.0000	1.1093	1.0998
7	1.0000	0.2773	0.2750
8	3.0000	0.8319	0.8249
9	3.0000	0.8319	0.8249
10	4.0000	1.1093	1.0998
11	4.0000	1.1093	1.0998
12	4.0000	1.1093	1.0998
13	3.0000	0.8319	0.8249
14	3.0000	0.8319	0.8249
15	4.0000	1.1093	1.0998
16	4.0000	1.1093	1.0998
17	4.0000	1.1093	1.0998
18	4.0000	1.1093	1.0998
19	3.0000	0.8319	0.8249
20	4.0000	1.1093	1.0998
21	3.0000	0.8319	0.8249
22	4.0000	1.1093	1.0998
23	4.0000	1.1093	1.0998
24	4.0000	1.1093	1.0998
25	4.0000	1.1093	1.0998
26	4.0000	1.1093	1.0998
27	3.0000	0.8319	0.8249
28	4.0000	1.1093	1.0998
29	3.0000	0.8319	0.8249
30	4.0000	1.1093	1.0998
31	4.0000	1.1093	1.0998
32	4.0000	1.1093	1.0998
33	4.0000	1.1093	1.0998
34	3.0000	0.8319	0.8249
35	4.0000	1.1093	1.0998
36	4.0000	1.1093	1.0998
37	4.0000	1.1093	1.0998
38	4.0000	1.1093	1.0998
39	3.0000	0.8319	0.8249
40	3.0000	0.8319	0.8249
41	3.0000	0.8319	0.8249
42	4.0000	1.1093	1.0998
43	4.0000	1.1093	1.0998
44	3.0000	0.8319	0.8249
45	4.0000	1.1093	1.0998
46	4.0000	1.1093	1.0998
47	4.0000	1.1093	1.0998
48	4.0000	1.1093	1.0998
49	4.0000	1.1093	1.0998
50	4.0000	1.1093	1.0998
51	4.0000	1.1093	1.0998
52	3.0000	0.8319	0.8249
53	4.0000	1.1093	1.0998
54	4.0000	1.1093	1.0998
55	3.0000	0.8319	0.8249
56	4.0000	1.1093	1.0998
57	1.0000	0.2773	0.2750
58	4.0000	1.1093	1.0998
59	4.0000	1.1093	1.0998
60	4.0000	1.1093	1.0998
61	4.0000	1.1093	1.0998
62	4.0000	1.1093	1.0998
63	4.0000	1.1093	1.0998
64	4.0000	1.1093	1.0998
65	4.0000	1.1093	1.0998
66	2.0000	0.5546	0.5499
67	4.0000	1.1093	1.0998
68	3.0000	0.8319	0.8249
69	4.0000	1.1093	1.0998
70	4.0000	1.1093	1.0998
71	4.0000	1.1093	1.0998
72	4.0000	1.1093	1.0998
73	3.0000	0.8319	0.8249
74	4.0000	1.1093	1.0998
75	4.0000	1.1093	1.0998
76	3.0000	0.8319	0.8249
77	3.0000	0.8319	0.8249
78	3.0000	0.8319	0.8249
79	3.0000	0.8319	0.8249
80	4.0000	1.1093	1.0998
81	4.0000	1.1093	1.0998
82	4.0000	1.1093	1.0998
83	4.0000	1.1093	1.0998
84	4.0000	1.1093	1.0998
85	4.0000	1.1093	1.0998
86	4.0000	1.1093	1.0998
87	4.0000	1.1093	1.0998
88	4.0000	1.1093	1.0998
89	4.0000	1.1093	1.0998
90	4.0000	1.1093	1.0998
91	4.0000	1.1093	1.0998
92	4.0000	1.1093	1.0998
93	2.0000	0.5546	0.5499
94	4.0000	1.1093	1.0998
95	4.0000	1.1093	1.0998
96	3.0000	0.8319	0.8249
97	4.0000	1.1093	1.0998
98	4.0000	1.1093	1.0998
99	4.0000	1.1093	1.0998
100	4.0000	1.1093	1.0998
101	3.0000	0.8319	0.8249
102	3.0000	0.8319	0.8249
103	4.0000	1.1093	1.0998
104	4.0000	1.1093	1.0998
105	4.0000	1.1093	1.0998
106	4.0000	1.1093	1.0998
107	3.0000	0.8319	0.8249
108	4.0000	1.1093	1.0998
109	4.0000	1.1093	1.0998
110	3.0000	0.8319	0.8249
111	3.0000	0.8319	0.8249
112	4.0000	1.1093	1.0998
113	3.0000	0.8319	0.8249
114	4.0000	1.1093	1.0998
115	3.0000	0.8319	0.8249
116	4.0000	1.1093	1.0998
117	4.0000	1.1093	1.0998
118	4.0000	1.1093	1.0998
119	4.0000	1.1093	1.0998
120	4.0000	1.1093	1.0998
121	4.0000	1.1093	1.0998
122	4.0000	1.1093	1.0998
123	4.0000	1.1093	1.0998
124	4.0000	1.1093	1.0998
125	4.0000	1.1093	1.0998
126	4.0000	1.1093	1.0998
127	3.0000	0.8319	0.8249
128	3.0000	0.8319	0.8249
129	3.0000	0.8319	0.8249
130	3.0000	0.8319	0.8249
131	4.0000	1.1093	1.0998
132	4.0000	1.1093	1.0998
133	4.0000	1.1093	1.0998
134	3.0000	0.8319	0.8249
135	2.0000	0.5546	0.5499
136	4.0000	1.1093	1.0998
137	3.0000	0.8319	0.8249
138	4.0000	1.1093	1.0998
139	4.0000	1.1093	1.0998
140	4.0000	1.1093	1.0998
141	4.0000	1.1093	1.0998
142	4.0000	1.1093	1.0998
143	2.0000	0.5546	0.5499
144	4.0000	1.1093	1.0998
145	4.0000	1.1093	1.0998
146	3.0000	0.8319	0.8249
147	4.0000	1.1093	1.0998
148	3.0000	0.8319	0.8249
149	4.0000	1.1093	1.0998
150	4.0000	1.1093	1.0998
151	4.0000	1.1093	1.0998
152	3.0000	0.8319	0.8249
153	4.0000	1.1093	1.0998
154	4.0000	1.1093	1.0998
155	3.0000	0.8319	0.8249
156	4.0000	1.1093	1.0998
157	4.0000	1.1093	1.0998
158	4.0000	1.1093	1.0998
159	4.0000	1.1093	1.0998
160	4.0000	1.1093	1.0998
161	4.0000	1.1093	1.0998
162	2.0000	0.5546	0.5499
163	3.0000	0.8319	0.8249
164	4.0000	1.1093	1.0998
165	4.0000	1.1093	1.0998
166	4.0000	1.1093	1.0998
167	3.0000	0.8319	0.8249
168	4.0000	1.1093	1.0998
169	4.0000	1.1093	1.0998
170	4.0000	1.1093	1.0998
171	4.0000	1.1093	1.0998
172	4.0000	1.1093	1.0998
173	4.0000	1.1093	1.0998
174	3.0000	0.8319	0.8249
175	4.0000	1.1093	1.0998
176	3.0000	0.8319	0.8249
177	4.0000	1.1093	1.0998
178	4.0000	1.1093	1.0998
179	4.0000	1.1093	1.0998
180	4.0000	1.1093	1.0998
181	4.0000	1.1093	1.0998
182	4.0000	1.1093	1.0998
183	3.0000	0.8319	0.8249
184	4.0000	1.1093	1.0998
185	4.0000	1.1093	1.0998
186	4.0000	1.1093	1.0998
187	3.0000	0.8319	0.8249
188	3.0000	0.8319	0.8249
189	4.0000	1.1093	1.0998
190	4.0000	1.1093	1.0998
191	4.0000	1.1093	1.0998
192	3.0000	0.8319	0.8249
193	3.0000	0.8319	0.8249
194	3.0000	0.8319	0.8249
195	4.0000	1.1093	1.0998
196	4.0000	1.1093	1.0998
197	4.0000	1.1093	1.0998
198	4.0000	1.1093	1.0998
199	4.0000	1.1093	1.0998
200	4.0000	1.1093	1.0998
201	4.0000	1.1093	1.0998
202	4.0000	1.1093	1.0998
203	4.0000	1.1093	1.0998
204	4.0000	1.1093	1.0998
205	4.0000	1.1093	1.0998
206	4.0000	1.1093	1.0998
207	4.0000	1.1093	1.0998
