Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	16.0000	0.9767	0.9402
2	14.0000	0.8546	0.8227
3	14.0000	0.8546	0.8227
4	16.0000	0.9767	0.9402
5	17.0000	1.0377	0.9989
6	11.0000	0.6715	0.6464
7	18.0000	1.0988	1.0577
8	11.0000	0.6715	0.6464
9	14.0000	0.8546	0.8227
10	15.0000	0.9156	0.8814
11	18.0000	1.0988	1.0577
12	18.0000	1.0988	1.0577
13	15.0000	0.9156	0.8814
14	15.0000	0.9156	0.8814
15	10.0000	0.6104	0.5876
16	16.0000	0.9767	0.9402
17	14.0000	0.8546	0.8227
18	16.0000	0.9767	0.9402
19	15.0000	0.9156	0.8814
20	19.0000	1.1598	1.1165
21	12.0000	0.7325	0.7051
22	13.0000	0.7936	0.7639
23	11.0000	0.6715	0.6464
24	16.0000	0.9767	0.9402
25	16.0000	0.9767	0.9402
26	17.0000	1.0377	0.9989
27	17.0000	1.0377	0.9989
28	15.0000	0.9156	0.8814
29	17.0000	1.0377	0.9989
30	18.0000	1.0988	1.0577
31	16.0000	0.9767	0.9402
32	17.0000	1.0377	0.9989
33	16.0000	0.9767	0.9402
34	14.0000	0.8546	0.8227
35	14.0000	0.8546	0.8227
36	17.0000	1.0377	0.9989
37	13.0000	0.7936	0.7639
38	16.0000	0.9767	0.9402
39	15.0000	0.9156	0.8814
40	17.0000	1.0377	0.9989
41	18.0000	1.0988	1.0577
42	14.0000	0.8546	0.8227
43	17.0000	1.0377	0.9989
44	17.0000	1.0377	0.9989
45	15.0000	0.9156	0.8814
46	10.0000	0.6104	0.5876
47	12.0000	0.7325	0.7051
48	16.0000	0.9767	0.9402
49	17.0000	1.0377	0.9989
50	14.0000	0.8546	0.8227
51	15.0000	0.9156	0.8814
52	16.0000	0.9767	0.9402
53	13.0000	0.7936	0.7639
54	16.0000	0.9767	0.9402
55	18.0000	1.0988	1.0577
56	16.0000	0.9767	0.9402
57	10.0000	0.6104	0.5876
58	19.0000	1.1598	1.1165
59	16.0000	0.9767	0.9402
60	18.0000	1.0988	1.0577
61	19.0000	1.1598	1.1165
62	17.0000	1.0377	0.9989
63	17.0000	1.0377	0.9989
64	18.0000	1.0988	1.0577
65	26.0000	1.5871	1.5278
66	12.0000	0.7325	0.7051
67	16.0000	0.9767	0.9402
68	16.0000	0.9767	0.9402
69	13.0000	0.7936	0.7639
70	18.0000	1.0988	1.0577
71	9.0000	0.5494	0.5289
72	18.0000	1.0988	1.0577
73	14.0000	0.8546	0.8227
74	14.0000	0.8546	0.8227
75	13.0000	0.7936	0.7639
76	18.0000	1.0988	1.0577
77	16.0000	0.9767	0.9402
78	15.0000	0.9156	0.8814
79	14.0000	0.8546	0.8227
80	14.0000	0.8546	0.8227
81	9.0000	0.5494	0.5289
82	18.0000	1.0988	1.0577
83	18.0000	1.0988	1.0577
84	13.0000	0.7936	0.7639
85	18.0000	1.0988	1.0577
86	16.0000	0.9767	0.9402
87	14.0000	0.8546	0.8227
88	16.0000	0.9767	0.9402
89	17.0000	1.0377	0.9989
90	21.0000	1.2819	1.2340
91	15.0000	0.9156	0.8814
92	16.0000	0.9767	0.9402
93	16.0000	0.9767	0.9402
94	10.0000	0.6104	0.5876
95	16.0000	0.9767	0.9402
96	18.0000	1.0988	1.0577
97	18.0000	1.0988	1.0577
98	16.0000	0.9767	0.9402
99	15.0000	0.9156	0.8814
100	14.0000	0.8546	0.8227
101	21.0000	1.2819	1.2340
102	14.0000	0.8546	0.8227
103	19.0000	1.1598	1.1165
104	15.0000	0.9156	0.8814
105	17.0000	1.0377	0.9989
106	14.0000	0.8546	0.8227
107	14.0000	0.8546	0.8227
108	17.0000	1.0377	0.9989
109	13.0000	0.7936	0.7639
110	13.0000	0.7936	0.7639
111	14.0000	0.8546	0.8227
112	12.0000	0.7325	0.7051
113	18.0000	1.0988	1.0577
114	16.0000	0.9767	0.9402
115	13.0000	0.7936	0.7639
116	17.0000	1.0377	0.9989
117	18.0000	1.0988	1.0577
118	19.0000	1.1598	1.1165
119	17.0000	1.0377	0.9989
120	10.0000	0.6104	0.5876
121	13.0000	0.7936	0.7639
122	15.0000	0.9156	0.8814
123	11.0000	0.6715	0.6464
