Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	12.0000	1.1223	1.0953
2	9.0000	0.8418	0.8215
3	11.0000	1.0288	1.0040
4	11.0000	1.0288	1.0040
5	10.0000	0.9353	0.9127
6	8.0000	0.7482	0.7302
7	13.0000	1.2159	1.1866
8	10.0000	0.9353	0.9127
9	12.0000	1.1223	1.0953
10	10.0000	0.9353	0.9127
11	13.0000	1.2159	1.1866
12	13.0000	1.2159	1.1866
13	12.0000	1.1223	1.0953
14	12.0000	1.1223	1.0953
15	5.0000	0.4676	0.4564
16	10.0000	0.9353	0.9127
17	10.0000	0.9353	0.9127
18	9.0000	0.8418	0.8215
19	12.0000	1.1223	1.0953
20	14.0000	1.3094	1.2778
21	7.0000	0.6547	0.6389
22	10.0000	0.9353	0.9127
23	6.0000	0.5612	0.5476
24	11.0000	1.0288	1.0040
25	13.0000	1.2159	1.1866
26	14.0000	1.3094	1.2778
27	12.0000	1.1223	1.0953
28	10.0000	0.9353	0.9127
29	14.0000	1.3094	1.2778
30	12.0000	1.1223	1.0953
31	12.0000	1.1223	1.0953
32	14.0000	1.3094	1.2778
33	11.0000	1.0288	1.0040
34	12.0000	1.1223	1.0953
35	10.0000	0.9353	0.9127
36	12.0000	1.1223	1.0953
37	10.0000	0.9353	0.9127
38	13.0000	1.2159	1.1866
39	10.0000	0.9353	0.9127
40	14.0000	1.3094	1.2778
41	14.0000	1.3094	1.2778
42	12.0000	1.1223	1.0953
43	14.0000	1.3094	1.2778
44	14.0000	1.3094	1.2778
45	12.0000	1.1223	1.0953
46	8.0000	0.7482	0.7302
47	6.0000	0.5612	0.5476
48	13.0000	1.2159	1.1866
49	12.0000	1.1223	1.0953
50	8.0000	0.7482	0.7302
51	10.0000	0.9353	0.9127
52	13.0000	1.2159	1.1866
53	10.0000	0.9353	0.9127
54	12.0000	1.1223	1.0953
55	14.0000	1.3094	1.2778
56	12.0000	1.1223	1.0953
57	9.0000	0.8418	0.8215
58	14.0000	1.3094	1.2778
59	13.0000	1.2159	1.1866
60	14.0000	1.3094	1.2778
61	12.0000	1.1223	1.0953
62	12.0000	1.1223	1.0953
