Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	6.0000	1.0499	1.0411
2	5.0000	0.8749	0.8676
3	6.0000	1.0499	1.0411
4	6.0000	1.0499	1.0411
5	5.0000	0.8749	0.8676
6	5.0000	0.8749	0.8676
7	6.0000	1.0499	1.0411
8	6.0000	1.0499	1.0411
9	6.0000	1.0499	1.0411
10	6.0000	1.0499	1.0411
11	6.0000	1.0499	1.0411
12	6.0000	1.0499	1.0411
13	6.0000	1.0499	1.0411
14	6.0000	1.0499	1.0411
15	4.0000	0.6999	0.6941
16	6.0000	1.0499	1.0411
17	5.0000	0.8749	0.8676
18	5.0000	0.8749	0.8676
19	6.0000	1.0499	1.0411
20	6.0000	1.0499	1.0411
21	4.0000	0.6999	0.6941
22	5.0000	0.8749	0.8676
23	4.0000	0.6999	0.6941
24	6.0000	1.0499	1.0411
25	6.0000	1.0499	1.0411
26	6.0000	1.0499	1.0411
27	6.0000	1.0499	1.0411
28	6.0000	1.0499	1.0411
29	6.0000	1.0499	1.0411
30	6.0000	1.0499	1.0411
31	6.0000	1.0499	1.0411
32	6.0000	1.0499	1.0411
33	6.0000	1.0499	1.0411
34	5.0000	0.8749	0.8676
35	5.0000	0.8749	0.8676
36	6.0000	1.0499	1.0411
37	6.0000	1.0499	1.0411
38	6.0000	1.0499	1.0411
39	5.0000	0.8749	0.8676
40	6.0000	1.0499	1.0411
41	6.0000	1.0499	1.0411
42	6.0000	1.0499	1.0411
43	6.0000	1.0499	1.0411
44	6.0000	1.0499	1.0411
45	6.0000	1.0499	1.0411
46	5.0000	0.8749	0.8676
47	5.0000	0.8749	0.8676
48	6.0000	1.0499	1.0411
49	6.0000	1.0499	1.0411
50	5.0000	0.8749	0.8676
51	5.0000	0.8749	0.8676
52	6.0000	1.0499	1.0411
53	6.0000	1.0499	1.0411
54	6.0000	1.0499	1.0411
55	6.0000	1.0499	1.0411
56	6.0000	1.0499	1.0411
57	6.0000	1.0499	1.0411
58	6.0000	1.0499	1.0411
59	6.0000	1.0499	1.0411
60	6.0000	1.0499	1.0411
61	6.0000	1.0499	1.0411
62	6.0000	1.0499	1.0411
63	5.0000	0.8749	0.8676
64	6.0000	1.0499	1.0411
65	6.0000	1.0499	1.0411
66	5.0000	0.8749	0.8676
67	6.0000	1.0499	1.0411
68	6.0000	1.0499	1.0411
69	5.0000	0.8749	0.8676
70	6.0000	1.0499	1.0411
71	5.0000	0.8749	0.8676
72	6.0000	1.0499	1.0411
73	6.0000	1.0499	1.0411
74	6.0000	1.0499	1.0411
75	5.0000	0.8749	0.8676
76	6.0000	1.0499	1.0411
77	5.0000	0.8749	0.8676
78	6.0000	1.0499	1.0411
79	6.0000	1.0499	1.0411
80	5.0000	0.8749	0.8676
81	4.0000	0.6999	0.6941
82	6.0000	1.0499	1.0411
83	6.0000	1.0499	1.0411
84	6.0000	1.0499	1.0411
85	6.0000	1.0499	1.0411
86	6.0000	1.0499	1.0411
87	6.0000	1.0499	1.0411
88	6.0000	1.0499	1.0411
89	6.0000	1.0499	1.0411
90	6.0000	1.0499	1.0411
91	6.0000	1.0499	1.0411
92	6.0000	1.0499	1.0411
93	5.0000	0.8749	0.8676
94	5.0000	0.8749	0.8676
95	6.0000	1.0499	1.0411
96	6.0000	1.0499	1.0411
97	6.0000	1.0499	1.0411
98	6.0000	1.0499	1.0411
99	6.0000	1.0499	1.0411
100	6.0000	1.0499	1.0411
101	6.0000	1.0499	1.0411
102	6.0000	1.0499	1.0411
103	6.0000	1.0499	1.0411
104	6.0000	1.0499	1.0411
105	4.0000	0.6999	0.6941
106	6.0000	1.0499	1.0411
107	6.0000	1.0499	1.0411
108	6.0000	1.0499	1.0411
109	5.0000	0.8749	0.8676
110	5.0000	0.8749	0.8676
111	5.0000	0.8749	0.8676
112	6.0000	1.0499	1.0411
113	6.0000	1.0499	1.0411
