Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	5.0000	1.0808	1.0613
2	4.0000	0.8647	0.8491
3	5.0000	1.0808	1.0613
4	5.0000	1.0808	1.0613
5	4.0000	0.8647	0.8491
6	4.0000	0.8647	0.8491
7	5.0000	1.0808	1.0613
8	5.0000	1.0808	1.0613
9	5.0000	1.0808	1.0613
10	5.0000	1.0808	1.0613
11	5.0000	1.0808	1.0613
12	5.0000	1.0808	1.0613
13	5.0000	1.0808	1.0613
14	5.0000	1.0808	1.0613
15	3.0000	0.6485	0.6368
16	5.0000	1.0808	1.0613
17	4.0000	0.8647	0.8491
18	4.0000	0.8647	0.8491
19	5.0000	1.0808	1.0613
20	5.0000	1.0808	1.0613
21	3.0000	0.6485	0.6368
22	4.0000	0.8647	0.8491
23	3.0000	0.6485	0.6368
24	5.0000	1.0808	1.0613
25	5.0000	1.0808	1.0613
26	5.0000	1.0808	1.0613
27	5.0000	1.0808	1.0613
28	5.0000	1.0808	1.0613
29	5.0000	1.0808	1.0613
30	5.0000	1.0808	1.0613
31	5.0000	1.0808	1.0613
32	5.0000	1.0808	1.0613
33	5.0000	1.0808	1.0613
34	4.0000	0.8647	0.8491
35	4.0000	0.8647	0.8491
36	5.0000	1.0808	1.0613
37	5.0000	1.0808	1.0613
38	5.0000	1.0808	1.0613
39	4.0000	0.8647	0.8491
40	5.0000	1.0808	1.0613
41	5.0000	1.0808	1.0613
42	5.0000	1.0808	1.0613
43	5.0000	1.0808	1.0613
44	5.0000	1.0808	1.0613
45	5.0000	1.0808	1.0613
46	4.0000	0.8647	0.8491
47	4.0000	0.8647	0.8491
48	5.0000	1.0808	1.0613
49	5.0000	1.0808	1.0613
50	4.0000	0.8647	0.8491
51	4.0000	0.8647	0.8491
52	5.0000	1.0808	1.0613
53	5.0000	1.0808	1.0613
54	5.0000	1.0808	1.0613
55	5.0000	1.0808	1.0613
56	5.0000	1.0808	1.0613
57	5.0000	1.0808	1.0613
58	5.0000	1.0808	1.0613
59	5.0000	1.0808	1.0613
60	5.0000	1.0808	1.0613
