Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	3.0000	0.9063	0.8863
2	4.0000	1.2085	1.1817
3	3.0000	0.9063	0.8863
4	6.0000	1.8127	1.7725
5	4.0000	1.2085	1.1817
6	4.0000	1.2085	1.1817
7	3.0000	0.9063	0.8863
8	3.0000	0.9063	0.8863
9	3.0000	0.9063	0.8863
10	2.0000	0.6042	0.5908
11	4.0000	1.2085	1.1817
12	4.0000	1.2085	1.1817
13	3.0000	0.9063	0.8863
14	4.0000	1.2085	1.1817
15	4.0000	1.2085	1.1817
16	2.0000	0.6042	0.5908
17	3.0000	0.9063	0.8863
18	2.0000	0.6042	0.5908
19	0.0000	0.0000	0.0000
20	3.0000	0.9063	0.8863
21	3.0000	0.9063	0.8863
22	2.0000	0.6042	0.5908
23	2.0000	0.6042	0.5908
24	4.0000	1.2085	1.1817
25	4.0000	1.2085	1.1817
26	4.0000	1.2085	1.1817
27	0.0000	0.0000	0.0000
28	3.0000	0.9063	0.8863
29	4.0000	1.2085	1.1817
30	6.0000	1.8127	1.7725
31	3.0000	0.9063	0.8863
32	6.0000	1.8127	1.7725
33	4.0000	1.2085	1.1817
34	4.0000	1.2085	1.1817
35	3.0000	0.9063	0.8863
36	4.0000	1.2085	1.1817
37	3.0000	0.9063	0.8863
38	3.0000	0.9063	0.8863
39	4.0000	1.2085	1.1817
40	3.0000	0.9063	0.8863
41	4.0000	1.2085	1.1817
42	2.0000	0.6042	0.5908
43	3.0000	0.9063	0.8863
44	2.0000	0.6042	0.5908
45	3.0000	0.9063	0.8863
46	2.0000	0.6042	0.5908
47	3.0000	0.9063	0.8863
48	3.0000	0.9063	0.8863
49	3.0000	0.9063	0.8863
50	3.0000	0.9063	0.8863
51	3.0000	0.9063	0.8863
52	3.0000	0.9063	0.8863
53	3.0000	0.9063	0.8863
54	3.0000	0.9063	0.8863
55	3.0000	0.9063	0.8863
56	3.0000	0.9063	0.8863
57	4.0000	1.2085	1.1817
58	3.0000	0.9063	0.8863
59	3.0000	0.9063	0.8863
60	3.0000	0.9063	0.8863
61	3.0000	0.9063	0.8863
62	3.0000	0.9063	0.8863
63	4.0000	1.2085	1.1817
64	3.0000	0.9063	0.8863
65	3.0000	0.9063	0.8863
66	3.0000	0.9063	0.8863
67	3.0000	0.9063	0.8863
68	4.0000	1.2085	1.1817
69	2.0000	0.6042	0.5908
70	4.0000	1.2085	1.1817
71	4.0000	1.2085	1.1817
72	3.0000	0.9063	0.8863
73	3.0000	0.9063	0.8863
74	2.0000	0.6042	0.5908
75	2.0000	0.6042	0.5908
76	3.0000	0.9063	0.8863
77	3.0000	0.9063	0.8863
78	3.0000	0.9063	0.8863
79	0.0000	0.0000	0.0000
80	3.0000	0.9063	0.8863
81	3.0000	0.9063	0.8863
82	0.0000	0.0000	0.0000
83	3.0000	0.9063	0.8863
84	6.0000	1.8127	1.7725
85	3.0000	0.9063	0.8863
86	3.0000	0.9063	0.8863
87	0.0000	0.0000	0.0000
88	3.0000	0.9063	0.8863
89	2.0000	0.6042	0.5908
90	3.0000	0.9063	0.8863
91	4.0000	1.2085	1.1817
92	3.0000	0.9063	0.8863
93	3.0000	0.9063	0.8863
94	2.0000	0.6042	0.5908
95	3.0000	0.9063	0.8863
96	3.0000	0.9063	0.8863
97	3.0000	0.9063	0.8863
98	3.0000	0.9063	0.8863
99	4.0000	1.2085	1.1817
100	4.0000	1.2085	1.1817
101	3.0000	0.9063	0.8863
102	4.0000	1.2085	1.1817
103	4.0000	1.2085	1.1817
104	3.0000	0.9063	0.8863
105	4.0000	1.2085	1.1817
106	4.0000	1.2085	1.1817
107	2.0000	0.6042	0.5908
108	3.0000	0.9063	0.8863
109	4.0000	1.2085	1.1817
110	6.0000	1.8127	1.7725
111	6.0000	1.8127	1.7725
112	3.0000	0.9063	0.8863
113	3.0000	0.9063	0.8863
114	4.0000	1.2085	1.1817
115	2.0000	0.6042	0.5908
116	3.0000	0.9063	0.8863
117	6.0000	1.8127	1.7725
118	3.0000	0.9063	0.8863
119	4.0000	1.2085	1.1817
120	2.0000	0.6042	0.5908
121	3.0000	0.9063	0.8863
122	3.0000	0.9063	0.8863
123	3.0000	0.9063	0.8863
124	3.0000	0.9063	0.8863
125	3.0000	0.9063	0.8863
126	3.0000	0.9063	0.8863
127	3.0000	0.9063	0.8863
128	3.0000	0.9063	0.8863
129	2.0000	0.6042	0.5908
130	4.0000	1.2085	1.1817
131	4.0000	1.2085	1.1817
132	4.0000	1.2085	1.1817
133	6.0000	1.8127	1.7725
134	2.0000	0.6042	0.5908
135	3.0000	0.9063	0.8863
136	0.0000	0.0000	0.0000
137	4.0000	1.2085	1.1817
138	3.0000	0.9063	0.8863
139	3.0000	0.9063	0.8863
140	0.0000	0.0000	0.0000
141	3.0000	0.9063	0.8863
142	3.0000	0.9063	0.8863
143	2.0000	0.6042	0.5908
144	4.0000	1.2085	1.1817
145	3.0000	0.9063	0.8863
146	4.0000	1.2085	1.1817
147	3.0000	0.9063	0.8863
148	3.0000	0.9063	0.8863
149	0.0000	0.0000	0.0000
150	3.0000	0.9063	0.8863
151	4.0000	1.2085	1.1817
152	2.0000	0.6042	0.5908
153	3.0000	0.9063	0.8863
154	4.0000	1.2085	1.1817
155	3.0000	0.9063	0.8863
156	3.0000	0.9063	0.8863
157	3.0000	0.9063	0.8863
158	4.0000	1.2085	1.1817
159	4.0000	1.2085	1.1817
160	2.0000	0.6042	0.5908
161	4.0000	1.2085	1.1817
162	4.0000	1.2085	1.1817
163	3.0000	0.9063	0.8863
164	3.0000	0.9063	0.8863
165	3.0000	0.9063	0.8863
166	4.0000	1.2085	1.1817
167	3.0000	0.9063	0.8863
168	3.0000	0.9063	0.8863
169	4.0000	1.2085	1.1817
170	3.0000	0.9063	0.8863
171	3.0000	0.9063	0.8863
172	3.0000	0.9063	0.8863
173	2.0000	0.6042	0.5908
174	6.0000	1.8127	1.7725
175	4.0000	1.2085	1.1817
176	3.0000	0.9063	0.8863
177	3.0000	0.9063	0.8863
178	4.0000	1.2085	1.1817
179	6.0000	1.8127	1.7725
180	4.0000	1.2085	1.1817
181	3.0000	0.9063	0.8863
182	4.0000	1.2085	1.1817
183	3.0000	0.9063	0.8863
184	4.0000	1.2085	1.1817
185	3.0000	0.9063	0.8863
186	6.0000	1.8127	1.7725
187	3.0000	0.9063	0.8863
188	4.0000	1.2085	1.1817
189	3.0000	0.9063	0.8863
190	4.0000	1.2085	1.1817
191	3.0000	0.9063	0.8863
192	4.0000	1.2085	1.1817
193	3.0000	0.9063	0.8863
194	2.0000	0.6042	0.5908
195	3.0000	0.9063	0.8863
196	4.0000	1.2085	1.1817
197	3.0000	0.9063	0.8863
198	6.0000	1.8127	1.7725
199	3.0000	0.9063	0.8863
200	3.0000	0.9063	0.8863
201	3.0000	0.9063	0.8863
202	0.0000	0.0000	0.0000
203	2.0000	0.6042	0.5908
204	6.0000	1.8127	1.7725
205	3.0000	0.9063	0.8863
206	3.0000	0.9063	0.8863
207	0.0000	0.0000	0.0000
208	4.0000	1.2085	1.1817
209	3.0000	0.9063	0.8863
210	3.0000	0.9063	0.8863
211	3.0000	0.9063	0.8863
212	4.0000	1.2085	1.1817
213	4.0000	1.2085	1.1817
214	3.0000	0.9063	0.8863
215	3.0000	0.9063	0.8863
216	3.0000	0.9063	0.8863
217	6.0000	1.8127	1.7725
218	2.0000	0.6042	0.5908
219	3.0000	0.9063	0.8863
220	3.0000	0.9063	0.8863
221	2.0000	0.6042	0.5908
222	2.0000	0.6042	0.5908
223	3.0000	0.9063	0.8863
224	3.0000	0.9063	0.8863
225	3.0000	0.9063	0.8863
226	3.0000	0.9063	0.8863
227	2.0000	0.6042	0.5908
228	0.0000	0.0000	0.0000
229	3.0000	0.9063	0.8863
230	3.0000	0.9063	0.8863
231	4.0000	1.2085	1.1817
232	2.0000	0.6042	0.5908
233	3.0000	0.9063	0.8863
234	3.0000	0.9063	0.8863
235	3.0000	0.9063	0.8863
236	3.0000	0.9063	0.8863
237	3.0000	0.9063	0.8863
238	2.0000	0.6042	0.5908
239	3.0000	0.9063	0.8863
240	4.0000	1.2085	1.1817
241	2.0000	0.6042	0.5908
242	6.0000	1.8127	1.7725
243	4.0000	1.2085	1.1817
244	2.0000	0.6042	0.5908
245	3.0000	0.9063	0.8863
246	3.0000	0.9063	0.8863
247	3.0000	0.9063	0.8863
248	4.0000	1.2085	1.1817
249	6.0000	1.8127	1.7725
250	3.0000	0.9063	0.8863
251	4.0000	1.2085	1.1817
252	6.0000	1.8127	1.7725
253	4.0000	1.2085	1.1817
254	2.0000	0.6042	0.5908
255	3.0000	0.9063	0.8863
256	3.0000	0.9063	0.8863
257	3.0000	0.9063	0.8863
258	3.0000	0.9063	0.8863
259	3.0000	0.9063	0.8863
260	3.0000	0.9063	0.8863
261	3.0000	0.9063	0.8863
262	4.0000	1.2085	1.1817
263	6.0000	1.8127	1.7725
264	3.0000	0.9063	0.8863
265	3.0000	0.9063	0.8863
266	2.0000	0.6042	0.5908
267	2.0000	0.6042	0.5908
268	4.0000	1.2085	1.1817
269	3.0000	0.9063	0.8863
270	4.0000	1.2085	1.1817
271	2.0000	0.6042	0.5908
272	4.0000	1.2085	1.1817
273	2.0000	0.6042	0.5908
274	6.0000	1.8127	1.7725
275	3.0000	0.9063	0.8863
276	6.0000	1.8127	1.7725
277	4.0000	1.2085	1.1817
278	3.0000	0.9063	0.8863
279	3.0000	0.9063	0.8863
280	2.0000	0.6042	0.5908
281	4.0000	1.2085	1.1817
282	4.0000	1.2085	1.1817
283	4.0000	1.2085	1.1817
284	4.0000	1.2085	1.1817
285	4.0000	1.2085	1.1817
286	3.0000	0.9063	0.8863
287	4.0000	1.2085	1.1817
288	3.0000	0.9063	0.8863
289	3.0000	0.9063	0.8863
290	2.0000	0.6042	0.5908
291	3.0000	0.9063	0.8863
292	4.0000	1.2085	1.1817
293	2.0000	0.6042	0.5908
294	4.0000	1.2085	1.1817
295	6.0000	1.8127	1.7725
296	4.0000	1.2085	1.1817
297	3.0000	0.9063	0.8863
298	4.0000	1.2085	1.1817
299	3.0000	0.9063	0.8863
300	0.0000	0.0000	0.0000
301	3.0000	0.9063	0.8863
302	2.0000	0.6042	0.5908
303	6.0000	1.8127	1.7725
304	3.0000	0.9063	0.8863
305	2.0000	0.6042	0.5908
306	4.0000	1.2085	1.1817
307	3.0000	0.9063	0.8863
308	3.0000	0.9063	0.8863
309	0.0000	0.0000	0.0000
310	2.0000	0.6042	0.5908
311	4.0000	1.2085	1.1817
312	6.0000	1.8127	1.7725
313	3.0000	0.9063	0.8863
314	3.0000	0.9063	0.8863
315	3.0000	0.9063	0.8863
316	3.0000	0.9063	0.8863
317	6.0000	1.8127	1.7725
318	3.0000	0.9063	0.8863
319	4.0000	1.2085	1.1817
320	3.0000	0.9063	0.8863
321	4.0000	1.2085	1.1817
322	4.0000	1.2085	1.1817
323	2.0000	0.6042	0.5908
324	3.0000	0.9063	0.8863
325	3.0000	0.9063	0.8863
326	3.0000	0.9063	0.8863
327	2.0000	0.6042	0.5908
328	3.0000	0.9063	0.8863
329	4.0000	1.2085	1.1817
330	3.0000	0.9063	0.8863
331	3.0000	0.9063	0.8863
332	4.0000	1.2085	1.1817
333	4.0000	1.2085	1.1817
334	3.0000	0.9063	0.8863
335	3.0000	0.9063	0.8863
336	2.0000	0.6042	0.5908
337	4.0000	1.2085	1.1817
338	3.0000	0.9063	0.8863
339	3.0000	0.9063	0.8863
340	2.0000	0.6042	0.5908
341	4.0000	1.2085	1.1817
342	3.0000	0.9063	0.8863
343	3.0000	0.9063	0.8863
344	3.0000	0.9063	0.8863
345	2.0000	0.6042	0.5908
346	3.0000	0.9063	0.8863
