Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	2.0000	1.4184	1.4514
2	2.0000	1.4184	1.4514
3	0.0000	0.0000	0.0000
4	0.0000	0.0000	0.0000
5	2.0000	1.4184	1.4514
6	2.0000	1.4184	1.4514
7	2.0000	1.4184	1.4514
8	0.0000	0.0000	0.0000
9	2.0000	1.4184	1.4514
10	0.0000	0.0000	0.0000
11	2.0000	1.4184	1.4514
12	2.0000	1.4184	1.4514
13	0.0000	0.0000	0.0000
14	2.0000	1.4184	1.4514
15	2.0000	1.4184	1.4514
16	2.0000	1.4184	1.4514
17	0.0000	0.0000	0.0000
18	0.0000	0.0000	0.0000
19	0.0000	0.0000	0.0000
20	2.0000	1.4184	1.4514
21	0.0000	0.0000	0.0000
22	2.0000	1.4184	1.4514
23	0.0000	0.0000	0.0000
24	2.0000	1.4184	1.4514
25	2.0000	1.4184	1.4514
26	2.0000	1.4184	1.4514
27	0.0000	0.0000	0.0000
28	2.0000	1.4184	1.4514
29	2.0000	1.4184	1.4514
30	0.0000	0.0000	0.0000
31	2.0000	1.4184	1.4514
32	0.0000	0.0000	0.0000
33	2.0000	1.4184	1.4514
34	2.0000	1.4184	1.4514
35	2.0000	1.4184	1.4514
36	2.0000	1.4184	1.4514
37	0.0000	0.0000	0.0000
38	2.0000	1.4184	1.4514
39	2.0000	1.4184	1.4514
40	2.0000	1.4184	1.4514
41	2.0000	1.4184	1.4514
42	2.0000	1.4184	1.4514
43	0.0000	0.0000	0.0000
44	0.0000	0.0000	0.0000
45	2.0000	1.4184	1.4514
46	2.0000	1.4184	1.4514
47	0.0000	0.0000	0.0000
48	0.0000	0.0000	0.0000
49	2.0000	1.4184	1.4514
50	2.0000	1.4184	1.4514
51	2.0000	1.4184	1.4514
52	2.0000	1.4184	1.4514
53	2.0000	1.4184	1.4514
54	2.0000	1.4184	1.4514
55	2.0000	1.4184	1.4514
56	2.0000	1.4184	1.4514
57	2.0000	1.4184	1.4514
58	0.0000	0.0000	0.0000
59	2.0000	1.4184	1.4514
60	2.0000	1.4184	1.4514
61	0.0000	0.0000	0.0000
62	0.0000	0.0000	0.0000
63	2.0000	1.4184	1.4514
64	2.0000	1.4184	1.4514
65	2.0000	1.4184	1.4514
66	2.0000	1.4184	1.4514
67	2.0000	1.4184	1.4514
68	2.0000	1.4184	1.4514
69	2.0000	1.4184	1.4514
70	2.0000	1.4184	1.4514
71	2.0000	1.4184	1.4514
72	0.0000	0.0000	0.0000
73	0.0000	0.0000	0.0000
74	2.0000	1.4184	1.4514
75	2.0000	1.4184	1.4514
76	0.0000	0.0000	0.0000
77	2.0000	1.4184	1.4514
78	2.0000	1.4184	1.4514
79	0.0000	0.0000	0.0000
80	2.0000	1.4184	1.4514
81	0.0000	0.0000	0.0000
82	0.0000	0.0000	0.0000
83	0.0000	0.0000	0.0000
84	0.0000	0.0000	0.0000
85	2.0000	1.4184	1.4514
86	2.0000	1.4184	1.4514
87	0.0000	0.0000	0.0000
88	0.0000	0.0000	0.0000
89	0.0000	0.0000	0.0000
90	2.0000	1.4184	1.4514
91	2.0000	1.4184	1.4514
92	2.0000	1.4184	1.4514
93	2.0000	1.4184	1.4514
94	0.0000	0.0000	0.0000
95	2.0000	1.4184	1.4514
96	2.0000	1.4184	1.4514
97	2.0000	1.4184	1.4514
98	2.0000	1.4184	1.4514
99	2.0000	1.4184	1.4514
100	2.0000	1.4184	1.4514
101	2.0000	1.4184	1.4514
102	2.0000	1.4184	1.4514
103	2.0000	1.4184	1.4514
104	2.0000	1.4184	1.4514
105	2.0000	1.4184	1.4514
106	2.0000	1.4184	1.4514
107	2.0000	1.4184	1.4514
108	2.0000	1.4184	1.4514
109	2.0000	1.4184	1.4514
110	0.0000	0.0000	0.0000
111	0.0000	0.0000	0.0000
112	2.0000	1.4184	1.4514
113	2.0000	1.4184	1.4514
114	2.0000	1.4184	1.4514
115	0.0000	0.0000	0.0000
116	2.0000	1.4184	1.4514
117	0.0000	0.0000	0.0000
118	2.0000	1.4184	1.4514
119	2.0000	1.4184	1.4514
120	0.0000	0.0000	0.0000
121	2.0000	1.4184	1.4514
122	2.0000	1.4184	1.4514
123	2.0000	1.4184	1.4514
124	2.0000	1.4184	1.4514
125	2.0000	1.4184	1.4514
126	2.0000	1.4184	1.4514
127	0.0000	0.0000	0.0000
128	2.0000	1.4184	1.4514
129	0.0000	0.0000	0.0000
130	2.0000	1.4184	1.4514
131	2.0000	1.4184	1.4514
132	2.0000	1.4184	1.4514
133	0.0000	0.0000	0.0000
134	2.0000	1.4184	1.4514
135	0.0000	0.0000	0.0000
136	0.0000	0.0000	0.0000
137	2.0000	1.4184	1.4514
138	2.0000	1.4184	1.4514
139	0.0000	0.0000	0.0000
140	0.0000	0.0000	0.0000
141	2.0000	1.4184	1.4514
142	0.0000	0.0000	0.0000
143	0.0000	0.0000	0.0000
144	2.0000	1.4184	1.4514
145	0.0000	0.0000	0.0000
146	2.0000	1.4184	1.4514
147	2.0000	1.4184	1.4514
148	0.0000	0.0000	0.0000
149	0.0000	0.0000	0.0000
150	2.0000	1.4184	1.4514
151	2.0000	1.4184	1.4514
152	2.0000	1.4184	1.4514
153	2.0000	1.4184	1.4514
154	2.0000	1.4184	1.4514
155	2.0000	1.4184	1.4514
156	2.0000	1.4184	1.4514
157	2.0000	1.4184	1.4514
158	2.0000	1.4184	1.4514
159	2.0000	1.4184	1.4514
160	2.0000	1.4184	1.4514
161	2.0000	1.4184	1.4514
162	2.0000	1.4184	1.4514
163	2.0000	1.4184	1.4514
164	2.0000	1.4184	1.4514
165	2.0000	1.4184	1.4514
166	2.0000	1.4184	1.4514
167	2.0000	1.4184	1.4514
168	2.0000	1.4184	1.4514
169	2.0000	1.4184	1.4514
170	0.0000	0.0000	0.0000
171	0.0000	0.0000	0.0000
172	2.0000	1.4184	1.4514
173	0.0000	0.0000	0.0000
174	0.0000	0.0000	0.0000
175	2.0000	1.4184	1.4514
176	0.0000	0.0000	0.0000
177	2.0000	1.4184	1.4514
178	2.0000	1.4184	1.4514
179	0.0000	0.0000	0.0000
180	2.0000	1.4184	1.4514
181	2.0000	1.4184	1.4514
182	2.0000	1.4184	1.4514
183	0.0000	0.0000	0.0000
184	2.0000	1.4184	1.4514
185	2.0000	1.4184	1.4514
186	0.0000	0.0000	0.0000
187	2.0000	1.4184	1.4514
188	2.0000	1.4184	1.4514
189	2.0000	1.4184	1.4514
190	2.0000	1.4184	1.4514
191	2.0000	1.4184	1.4514
192	2.0000	1.4184	1.4514
193	2.0000	1.4184	1.4514
194	2.0000	1.4184	1.4514
195	2.0000	1.4184	1.4514
196	2.0000	1.4184	1.4514
197	0.0000	0.0000	0.0000
198	0.0000	0.0000	0.0000
199	0.0000	0.0000	0.0000
200	0.0000	0.0000	0.0000
201	0.0000	0.0000	0.0000
202	0.0000	0.0000	0.0000
203	0.0000	0.0000	0.0000
204	0.0000	0.0000	0.0000
205	2.0000	1.4184	1.4514
206	0.0000	0.0000	0.0000
207	0.0000	0.0000	0.0000
208	2.0000	1.4184	1.4514
209	2.0000	1.4184	1.4514
210	2.0000	1.4184	1.4514
211	2.0000	1.4184	1.4514
212	2.0000	1.4184	1.4514
213	2.0000	1.4184	1.4514
214	0.0000	0.0000	0.0000
215	2.0000	1.4184	1.4514
216	2.0000	1.4184	1.4514
217	0.0000	0.0000	0.0000
218	2.0000	1.4184	1.4514
219	2.0000	1.4184	1.4514
220	0.0000	0.0000	0.0000
221	0.0000	0.0000	0.0000
222	0.0000	0.0000	0.0000
223	2.0000	1.4184	1.4514
224	0.0000	0.0000	0.0000
225	2.0000	1.4184	1.4514
226	2.0000	1.4184	1.4514
227	0.0000	0.0000	0.0000
228	0.0000	0.0000	0.0000
229	2.0000	1.4184	1.4514
230	0.0000	0.0000	0.0000
231	2.0000	1.4184	1.4514
232	2.0000	1.4184	1.4514
233	2.0000	1.4184	1.4514
234	0.0000	0.0000	0.0000
235	2.0000	1.4184	1.4514
236	0.0000	0.0000	0.0000
237	2.0000	1.4184	1.4514
238	2.0000	1.4184	1.4514
239	2.0000	1.4184	1.4514
240	2.0000	1.4184	1.4514
