Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	2.0000	1.2369	1.2315
2	2.0000	1.2369	1.2315
3	1.0000	0.6184	0.6158
4	2.0000	1.2369	1.2315
5	2.0000	1.2369	1.2315
6	2.0000	1.2369	1.2315
7	2.0000	1.2369	1.2315
8	1.0000	0.6184	0.6158
9	2.0000	1.2369	1.2315
10	1.0000	0.6184	0.6158
11	2.0000	1.2369	1.2315
12	2.0000	1.2369	1.2315
13	1.0000	0.6184	0.6158
14	2.0000	1.2369	1.2315
15	2.0000	1.2369	1.2315
16	1.0000	0.6184	0.6158
17	1.0000	0.6184	0.6158
18	1.0000	0.6184	0.6158
19	0.0000	0.0000	0.0000
20	2.0000	1.2369	1.2315
21	1.0000	0.6184	0.6158
22	1.0000	0.6184	0.6158
23	1.0000	0.6184	0.6158
24	2.0000	1.2369	1.2315
25	2.0000	1.2369	1.2315
26	2.0000	1.2369	1.2315
27	0.0000	0.0000	0.0000
28	2.0000	1.2369	1.2315
29	2.0000	1.2369	1.2315
30	2.0000	1.2369	1.2315
31	2.0000	1.2369	1.2315
32	2.0000	1.2369	1.2315
33	2.0000	1.2369	1.2315
34	2.0000	1.2369	1.2315
35	2.0000	1.2369	1.2315
36	2.0000	1.2369	1.2315
37	1.0000	0.6184	0.6158
38	2.0000	1.2369	1.2315
39	2.0000	1.2369	1.2315
40	2.0000	1.2369	1.2315
41	2.0000	1.2369	1.2315
42	1.0000	0.6184	0.6158
43	1.0000	0.6184	0.6158
44	1.0000	0.6184	0.6158
45	2.0000	1.2369	1.2315
46	1.0000	0.6184	0.6158
47	1.0000	0.6184	0.6158
48	1.0000	0.6184	0.6158
49	2.0000	1.2369	1.2315
50	2.0000	1.2369	1.2315
51	2.0000	1.2369	1.2315
52	2.0000	1.2369	1.2315
53	2.0000	1.2369	1.2315
54	2.0000	1.2369	1.2315
55	2.0000	1.2369	1.2315
56	2.0000	1.2369	1.2315
57	2.0000	1.2369	1.2315
58	1.0000	0.6184	0.6158
59	2.0000	1.2369	1.2315
60	2.0000	1.2369	1.2315
61	1.0000	0.6184	0.6158
62	1.0000	0.6184	0.6158
63	2.0000	1.2369	1.2315
64	2.0000	1.2369	1.2315
65	2.0000	1.2369	1.2315
66	2.0000	1.2369	1.2315
67	2.0000	1.2369	1.2315
68	2.0000	1.2369	1.2315
69	1.0000	0.6184	0.6158
70	2.0000	1.2369	1.2315
71	2.0000	1.2369	1.2315
72	1.0000	0.6184	0.6158
73	1.0000	0.6184	0.6158
74	1.0000	0.6184	0.6158
75	1.0000	0.6184	0.6158
76	1.0000	0.6184	0.6158
77	2.0000	1.2369	1.2315
78	2.0000	1.2369	1.2315
79	0.0000	0.0000	0.0000
80	2.0000	1.2369	1.2315
81	1.0000	0.6184	0.6158
82	0.0000	0.0000	0.0000
83	1.0000	0.6184	0.6158
84	2.0000	1.2369	1.2315
85	2.0000	1.2369	1.2315
86	2.0000	1.2369	1.2315
87	0.0000	0.0000	0.0000
88	1.0000	0.6184	0.6158
89	1.0000	0.6184	0.6158
90	2.0000	1.2369	1.2315
91	2.0000	1.2369	1.2315
92	2.0000	1.2369	1.2315
93	2.0000	1.2369	1.2315
94	1.0000	0.6184	0.6158
95	2.0000	1.2369	1.2315
96	2.0000	1.2369	1.2315
97	2.0000	1.2369	1.2315
98	2.0000	1.2369	1.2315
99	2.0000	1.2369	1.2315
100	2.0000	1.2369	1.2315
101	2.0000	1.2369	1.2315
102	2.0000	1.2369	1.2315
103	2.0000	1.2369	1.2315
104	2.0000	1.2369	1.2315
105	2.0000	1.2369	1.2315
106	2.0000	1.2369	1.2315
107	1.0000	0.6184	0.6158
108	2.0000	1.2369	1.2315
109	2.0000	1.2369	1.2315
110	2.0000	1.2369	1.2315
111	2.0000	1.2369	1.2315
112	2.0000	1.2369	1.2315
113	2.0000	1.2369	1.2315
114	2.0000	1.2369	1.2315
115	1.0000	0.6184	0.6158
116	2.0000	1.2369	1.2315
117	2.0000	1.2369	1.2315
118	2.0000	1.2369	1.2315
119	2.0000	1.2369	1.2315
120	1.0000	0.6184	0.6158
121	2.0000	1.2369	1.2315
122	2.0000	1.2369	1.2315
123	2.0000	1.2369	1.2315
124	2.0000	1.2369	1.2315
125	2.0000	1.2369	1.2315
126	2.0000	1.2369	1.2315
127	1.0000	0.6184	0.6158
128	2.0000	1.2369	1.2315
129	1.0000	0.6184	0.6158
130	2.0000	1.2369	1.2315
131	2.0000	1.2369	1.2315
132	2.0000	1.2369	1.2315
133	2.0000	1.2369	1.2315
134	1.0000	0.6184	0.6158
135	1.0000	0.6184	0.6158
136	0.0000	0.0000	0.0000
137	2.0000	1.2369	1.2315
138	2.0000	1.2369	1.2315
139	1.0000	0.6184	0.6158
140	0.0000	0.0000	0.0000
141	2.0000	1.2369	1.2315
142	1.0000	0.6184	0.6158
143	1.0000	0.6184	0.6158
144	2.0000	1.2369	1.2315
145	1.0000	0.6184	0.6158
146	2.0000	1.2369	1.2315
147	2.0000	1.2369	1.2315
148	1.0000	0.6184	0.6158
149	0.0000	0.0000	0.0000
150	2.0000	1.2369	1.2315
151	2.0000	1.2369	1.2315
152	1.0000	0.6184	0.6158
153	2.0000	1.2369	1.2315
154	2.0000	1.2369	1.2315
155	2.0000	1.2369	1.2315
156	2.0000	1.2369	1.2315
157	2.0000	1.2369	1.2315
158	2.0000	1.2369	1.2315
159	2.0000	1.2369	1.2315
160	1.0000	0.6184	0.6158
161	2.0000	1.2369	1.2315
162	2.0000	1.2369	1.2315
163	2.0000	1.2369	1.2315
164	2.0000	1.2369	1.2315
165	2.0000	1.2369	1.2315
166	2.0000	1.2369	1.2315
167	2.0000	1.2369	1.2315
168	2.0000	1.2369	1.2315
169	2.0000	1.2369	1.2315
170	1.0000	0.6184	0.6158
171	1.0000	0.6184	0.6158
172	2.0000	1.2369	1.2315
173	1.0000	0.6184	0.6158
174	2.0000	1.2369	1.2315
175	2.0000	1.2369	1.2315
176	1.0000	0.6184	0.6158
177	2.0000	1.2369	1.2315
178	2.0000	1.2369	1.2315
179	2.0000	1.2369	1.2315
180	2.0000	1.2369	1.2315
181	2.0000	1.2369	1.2315
182	2.0000	1.2369	1.2315
183	1.0000	0.6184	0.6158
184	2.0000	1.2369	1.2315
185	2.0000	1.2369	1.2315
186	2.0000	1.2369	1.2315
187	2.0000	1.2369	1.2315
188	2.0000	1.2369	1.2315
189	2.0000	1.2369	1.2315
190	2.0000	1.2369	1.2315
191	2.0000	1.2369	1.2315
192	2.0000	1.2369	1.2315
193	2.0000	1.2369	1.2315
194	1.0000	0.6184	0.6158
195	2.0000	1.2369	1.2315
196	2.0000	1.2369	1.2315
197	1.0000	0.6184	0.6158
198	2.0000	1.2369	1.2315
199	1.0000	0.6184	0.6158
200	1.0000	0.6184	0.6158
201	1.0000	0.6184	0.6158
202	0.0000	0.0000	0.0000
203	1.0000	0.6184	0.6158
204	2.0000	1.2369	1.2315
205	2.0000	1.2369	1.2315
206	1.0000	0.6184	0.6158
207	0.0000	0.0000	0.0000
