Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	1.0000	1.4184	1.4514
2	1.0000	1.4184	1.4514
3	0.0000	0.0000	0.0000
4	0.0000	0.0000	0.0000
5	1.0000	1.4184	1.4514
6	1.0000	1.4184	1.4514
7	1.0000	1.4184	1.4514
8	0.0000	0.0000	0.0000
9	1.0000	1.4184	1.4514
10	0.0000	0.0000	0.0000
11	1.0000	1.4184	1.4514
12	1.0000	1.4184	1.4514
13	0.0000	0.0000	0.0000
14	1.0000	1.4184	1.4514
15	1.0000	1.4184	1.4514
16	1.0000	1.4184	1.4514
17	0.0000	0.0000	0.0000
18	0.0000	0.0000	0.0000
19	0.0000	0.0000	0.0000
20	1.0000	1.4184	1.4514
21	0.0000	0.0000	0.0000
22	1.0000	1.4184	1.4514
23	0.0000	0.0000	0.0000
24	1.0000	1.4184	1.4514
25	1.0000	1.4184	1.4514
26	1.0000	1.4184	1.4514
27	0.0000	0.0000	0.0000
28	1.0000	1.4184	1.4514
29	1.0000	1.4184	1.4514
30	0.0000	0.0000	0.0000
31	1.0000	1.4184	1.4514
32	0.0000	0.0000	0.0000
33	1.0000	1.4184	1.4514
34	1.0000	1.4184	1.4514
35	1.0000	1.4184	1.4514
36	1.0000	1.4184	1.4514
37	0.0000	0.0000	0.0000
38	1.0000	1.4184	1.4514
39	1.0000	1.4184	1.4514
40	1.0000	1.4184	1.4514
41	1.0000	1.4184	1.4514
42	1.0000	1.4184	1.4514
43	0.0000	0.0000	0.0000
44	0.0000	0.0000	0.0000
45	1.0000	1.4184	1.4514
46	1.0000	1.4184	1.4514
47	0.0000	0.0000	0.0000
48	0.0000	0.0000	0.0000
49	1.0000	1.4184	1.4514
50	1.0000	1.4184	1.4514
51	1.0000	1.4184	1.4514
52	1.0000	1.4184	1.4514
53	1.0000	1.4184	1.4514
54	1.0000	1.4184	1.4514
55	1.0000	1.4184	1.4514
56	1.0000	1.4184	1.4514
57	1.0000	1.4184	1.4514
58	0.0000	0.0000	0.0000
59	1.0000	1.4184	1.4514
60	1.0000	1.4184	1.4514
61	0.0000	0.0000	0.0000
62	0.0000	0.0000	0.0000
63	1.0000	1.4184	1.4514
64	1.0000	1.4184	1.4514
65	1.0000	1.4184	1.4514
66	1.0000	1.4184	1.4514
67	1.0000	1.4184	1.4514
68	1.0000	1.4184	1.4514
69	1.0000	1.4184	1.4514
70	1.0000	1.4184	1.4514
71	1.0000	1.4184	1.4514
72	0.0000	0.0000	0.0000
73	0.0000	0.0000	0.0000
74	1.0000	1.4184	1.4514
75	1.0000	1.4184	1.4514
76	0.0000	0.0000	0.0000
77	1.0000	1.4184	1.4514
78	1.0000	1.4184	1.4514
79	0.0000	0.0000	0.0000
80	1.0000	1.4184	1.4514
81	0.0000	0.0000	0.0000
82	0.0000	0.0000	0.0000
83	0.0000	0.0000	0.0000
84	0.0000	0.0000	0.0000
85	1.0000	1.4184	1.4514
86	1.0000	1.4184	1.4514
87	0.0000	0.0000	0.0000
88	0.0000	0.0000	0.0000
89	0.0000	0.0000	0.0000
90	1.0000	1.4184	1.4514
91	1.0000	1.4184	1.4514
92	1.0000	1.4184	1.4514
93	1.0000	1.4184	1.4514
94	0.0000	0.0000	0.0000
95	1.0000	1.4184	1.4514
96	1.0000	1.4184	1.4514
97	1.0000	1.4184	1.4514
98	1.0000	1.4184	1.4514
99	1.0000	1.4184	1.4514
100	1.0000	1.4184	1.4514
101	1.0000	1.4184	1.4514
102	1.0000	1.4184	1.4514
103	1.0000	1.4184	1.4514
104	1.0000	1.4184	1.4514
105	1.0000	1.4184	1.4514
106	1.0000	1.4184	1.4514
107	1.0000	1.4184	1.4514
108	1.0000	1.4184	1.4514
109	1.0000	1.4184	1.4514
110	0.0000	0.0000	0.0000
111	0.0000	0.0000	0.0000
112	1.0000	1.4184	1.4514
113	1.0000	1.4184	1.4514
114	1.0000	1.4184	1.4514
115	0.0000	0.0000	0.0000
116	1.0000	1.4184	1.4514
117	0.0000	0.0000	0.0000
118	1.0000	1.4184	1.4514
119	1.0000	1.4184	1.4514
120	0.0000	0.0000	0.0000
121	1.0000	1.4184	1.4514
122	1.0000	1.4184	1.4514
123	1.0000	1.4184	1.4514
124	1.0000	1.4184	1.4514
125	1.0000	1.4184	1.4514
126	1.0000	1.4184	1.4514
127	0.0000	0.0000	0.0000
128	1.0000	1.4184	1.4514
129	0.0000	0.0000	0.0000
130	1.0000	1.4184	1.4514
131	1.0000	1.4184	1.4514
132	1.0000	1.4184	1.4514
133	0.0000	0.0000	0.0000
134	1.0000	1.4184	1.4514
135	0.0000	0.0000	0.0000
136	0.0000	0.0000	0.0000
137	1.0000	1.4184	1.4514
138	1.0000	1.4184	1.4514
139	0.0000	0.0000	0.0000
140	0.0000	0.0000	0.0000
141	1.0000	1.4184	1.4514
142	0.0000	0.0000	0.0000
143	0.0000	0.0000	0.0000
144	1.0000	1.4184	1.4514
145	0.0000	0.0000	0.0000
146	1.0000	1.4184	1.4514
147	1.0000	1.4184	1.4514
148	0.0000	0.0000	0.0000
149	0.0000	0.0000	0.0000
150	1.0000	1.4184	1.4514
151	1.0000	1.4184	1.4514
152	1.0000	1.4184	1.4514
153	1.0000	1.4184	1.4514
154	1.0000	1.4184	1.4514
155	1.0000	1.4184	1.4514
156	1.0000	1.4184	1.4514
157	1.0000	1.4184	1.4514
158	1.0000	1.4184	1.4514
159	1.0000	1.4184	1.4514
160	1.0000	1.4184	1.4514
161	1.0000	1.4184	1.4514
162	1.0000	1.4184	1.4514
163	1.0000	1.4184	1.4514
164	1.0000	1.4184	1.4514
165	1.0000	1.4184	1.4514
166	1.0000	1.4184	1.4514
167	1.0000	1.4184	1.4514
168	1.0000	1.4184	1.4514
169	1.0000	1.4184	1.4514
170	0.0000	0.0000	0.0000
171	0.0000	0.0000	0.0000
172	1.0000	1.4184	1.4514
173	0.0000	0.0000	0.0000
174	0.0000	0.0000	0.0000
175	1.0000	1.4184	1.4514
176	0.0000	0.0000	0.0000
177	1.0000	1.4184	1.4514
178	1.0000	1.4184	1.4514
179	0.0000	0.0000	0.0000
180	1.0000	1.4184	1.4514
181	1.0000	1.4184	1.4514
182	1.0000	1.4184	1.4514
183	0.0000	0.0000	0.0000
184	1.0000	1.4184	1.4514
185	1.0000	1.4184	1.4514
186	0.0000	0.0000	0.0000
187	1.0000	1.4184	1.4514
188	1.0000	1.4184	1.4514
189	1.0000	1.4184	1.4514
190	1.0000	1.4184	1.4514
191	1.0000	1.4184	1.4514
192	1.0000	1.4184	1.4514
193	1.0000	1.4184	1.4514
194	1.0000	1.4184	1.4514
195	1.0000	1.4184	1.4514
196	1.0000	1.4184	1.4514
197	0.0000	0.0000	0.0000
198	0.0000	0.0000	0.0000
199	0.0000	0.0000	0.0000
200	0.0000	0.0000	0.0000
201	0.0000	0.0000	0.0000
202	0.0000	0.0000	0.0000
203	0.0000	0.0000	0.0000
204	0.0000	0.0000	0.0000
205	1.0000	1.4184	1.4514
206	0.0000	0.0000	0.0000
207	0.0000	0.0000	0.0000
208	1.0000	1.4184	1.4514
209	1.0000	1.4184	1.4514
210	1.0000	1.4184	1.4514
211	1.0000	1.4184	1.4514
212	1.0000	1.4184	1.4514
213	1.0000	1.4184	1.4514
214	0.0000	0.0000	0.0000
215	1.0000	1.4184	1.4514
216	1.0000	1.4184	1.4514
217	0.0000	0.0000	0.0000
218	1.0000	1.4184	1.4514
219	1.0000	1.4184	1.4514
220	0.0000	0.0000	0.0000
221	0.0000	0.0000	0.0000
222	0.0000	0.0000	0.0000
223	1.0000	1.4184	1.4514
224	0.0000	0.0000	0.0000
225	1.0000	1.4184	1.4514
226	1.0000	1.4184	1.4514
227	0.0000	0.0000	0.0000
228	0.0000	0.0000	0.0000
229	1.0000	1.4184	1.4514
230	0.0000	0.0000	0.0000
231	1.0000	1.4184	1.4514
232	1.0000	1.4184	1.4514
233	1.0000	1.4184	1.4514
234	0.0000	0.0000	0.0000
235	1.0000	1.4184	1.4514
236	0.0000	0.0000	0.0000
237	1.0000	1.4184	1.4514
238	1.0000	1.4184	1.4514
239	1.0000	1.4184	1.4514
240	1.0000	1.4184	1.4514
241	1.0000	1.4184	1.4514
242	0.0000	0.0000	0.0000
243	1.0000	1.4184	1.4514
244	1.0000	1.4184	1.4514
245	1.0000	1.4184	1.4514
246	0.0000	0.0000	0.0000
247	0.0000	0.0000	0.0000
248	1.0000	1.4184	1.4514
249	0.0000	0.0000	0.0000
250	0.0000	0.0000	0.0000
251	1.0000	1.4184	1.4514
252	0.0000	0.0000	0.0000
253	1.0000	1.4184	1.4514
254	1.0000	1.4184	1.4514
255	1.0000	1.4184	1.4514
256	0.0000	0.0000	0.0000
257	1.0000	1.4184	1.4514
258	0.0000	0.0000	0.0000
259	0.0000	0.0000	0.0000
260	1.0000	1.4184	1.4514
261	1.0000	1.4184	1.4514
262	1.0000	1.4184	1.4514
263	0.0000	0.0000	0.0000
264	1.0000	1.4184	1.4514
265	1.0000	1.4184	1.4514
266	1.0000	1.4184	1.4514
267	1.0000	1.4184	1.4514
268	1.0000	1.4184	1.4514
269	1.0000	1.4184	1.4514
270	1.0000	1.4184	1.4514
271	1.0000	1.4184	1.4514
272	1.0000	1.4184	1.4514
273	0.0000	0.0000	0.0000
274	0.0000	0.0000	0.0000
275	1.0000	1.4184	1.4514
276	0.0000	0.0000	0.0000
277	1.0000	1.4184	1.4514
278	1.0000	1.4184	1.4514
279	1.0000	1.4184	1.4514
280	0.0000	0.0000	0.0000
281	1.0000	1.4184	1.4514
282	1.0000	1.4184	1.4514
283	1.0000	1.4184	1.4514
284	1.0000	1.4184	1.4514
285	1.0000	1.4184	1.4514
286	0.0000	0.0000	0.0000
287	1.0000	1.4184	1.4514
288	1.0000	1.4184	1.4514
289	1.0000	1.4184	1.4514
290	0.0000	0.0000	0.0000
291	1.0000	1.4184	1.4514
292	1.0000	1.4184	1.4514
293	0.0000	0.0000	0.0000
294	1.0000	1.4184	1.4514
295	0.0000	0.0000	0.0000
296	1.0000	1.4184	1.4514
297	1.0000	1.4184	1.4514
298	1.0000	1.4184	1.4514
299	0.0000	0.0000	0.0000
300	0.0000	0.0000	0.0000
301	0.0000	0.0000	0.0000
302	1.0000	1.4184	1.4514
303	0.0000	0.0000	0.0000
304	1.0000	1.4184	1.4514
305	1.0000	1.4184	1.4514
306	1.0000	1.4184	1.4514
307	1.0000	1.4184	1.4514
308	0.0000	0.0000	0.0000
309	0.0000	0.0000	0.0000
310	1.0000	1.4184	1.4514
311	1.0000	1.4184	1.4514
312	0.0000	0.0000	0.0000
313	1.0000	1.4184	1.4514
314	1.0000	1.4184	1.4514
315	0.0000	0.0000	0.0000
316	1.0000	1.4184	1.4514
317	0.0000	0.0000	0.0000
318	0.0000	0.0000	0.0000
319	1.0000	1.4184	1.4514
320	1.0000	1.4184	1.4514
321	1.0000	1.4184	1.4514
322	1.0000	1.4184	1.4514
323	1.0000	1.4184	1.4514
324	1.0000	1.4184	1.4514
325	1.0000	1.4184	1.4514
326	0.0000	0.0000	0.0000
327	0.0000	0.0000	0.0000
328	1.0000	1.4184	1.4514
329	1.0000	1.4184	1.4514
330	1.0000	1.4184	1.4514
331	1.0000	1.4184	1.4514
332	1.0000	1.4184	1.4514
333	1.0000	1.4184	1.4514
334	1.0000	1.4184	1.4514
335	0.0000	0.0000	0.0000
336	0.0000	0.0000	0.0000
337	1.0000	1.4184	1.4514
338	0.0000	0.0000	0.0000
339	1.0000	1.4184	1.4514
340	1.0000	1.4184	1.4514
341	1.0000	1.4184	1.4514
342	0.0000	0.0000	0.0000
343	1.0000	1.4184	1.4514
344	1.0000	1.4184	1.4514
345	1.0000	1.4184	1.4514
346	1.0000	1.4184	1.4514
347	1.0000	1.4184	1.4514
348	1.0000	1.4184	1.4514
349	0.0000	0.0000	0.0000
350	0.0000	0.0000	0.0000
351	0.0000	0.0000	0.0000
352	1.0000	1.4184	1.4514
353	0.0000	0.0000	0.0000
354	1.0000	1.4184	1.4514
355	1.0000	1.4184	1.4514
356	0.0000	0.0000	0.0000
357	1.0000	1.4184	1.4514
358	1.0000	1.4184	1.4514
359	0.0000	0.0000	0.0000
360	0.0000	0.0000	0.0000
361	0.0000	0.0000	0.0000
362	1.0000	1.4184	1.4514
363	1.0000	1.4184	1.4514
364	1.0000	1.4184	1.4514
365	0.0000	0.0000	0.0000
366	1.0000	1.4184	1.4514
367	1.0000	1.4184	1.4514
368	0.0000	0.0000	0.0000
369	0.0000	0.0000	0.0000
370	0.0000	0.0000	0.0000
371	0.0000	0.0000	0.0000
372	0.0000	0.0000	0.0000
373	1.0000	1.4184	1.4514
374	1.0000	1.4184	1.4514
375	0.0000	0.0000	0.0000
376	1.0000	1.4184	1.4514
377	1.0000	1.4184	1.4514
378	1.0000	1.4184	1.4514
379	1.0000	1.4184	1.4514
380	1.0000	1.4184	1.4514
381	0.0000	0.0000	0.0000
382	1.0000	1.4184	1.4514
383	1.0000	1.4184	1.4514
384	1.0000	1.4184	1.4514
385	1.0000	1.4184	1.4514
386	1.0000	1.4184	1.4514
387	1.0000	1.4184	1.4514
388	1.0000	1.4184	1.4514
389	1.0000	1.4184	1.4514
390	1.0000	1.4184	1.4514
391	1.0000	1.4184	1.4514
392	1.0000	1.4184	1.4514
393	1.0000	1.4184	1.4514
394	1.0000	1.4184	1.4514
395	1.0000	1.4184	1.4514
396	0.0000	0.0000	0.0000
397	0.0000	0.0000	0.0000
398	1.0000	1.4184	1.4514
399	1.0000	1.4184	1.4514
400	1.0000	1.4184	1.4514
401	1.0000	1.4184	1.4514
402	1.0000	1.4184	1.4514
403	0.0000	0.0000	0.0000
404	1.0000	1.4184	1.4514
405	1.0000	1.4184	1.4514
406	1.0000	1.4184	1.4514
407	1.0000	1.4184	1.4514
408	0.0000	0.0000	0.0000
409	0.0000	0.0000	0.0000
410	0.0000	0.0000	0.0000
411	0.0000	0.0000	0.0000
412	1.0000	1.4184	1.4514
413	0.0000	0.0000	0.0000
414	1.0000	1.4184	1.4514
415	1.0000	1.4184	1.4514
416	1.0000	1.4184	1.4514
417	1.0000	1.4184	1.4514
418	1.0000	1.4184	1.4514
419	1.0000	1.4184	1.4514
420	1.0000	1.4184	1.4514
421	0.0000	0.0000	0.0000
422	1.0000	1.4184	1.4514
423	1.0000	1.4184	1.4514
424	0.0000	0.0000	0.0000
425	1.0000	1.4184	1.4514
426	0.0000	0.0000	0.0000
427	0.0000	0.0000	0.0000
428	1.0000	1.4184	1.4514
429	1.0000	1.4184	1.4514
430	1.0000	1.4184	1.4514
431	1.0000	1.4184	1.4514
432	1.0000	1.4184	1.4514
433	1.0000	1.4184	1.4514
434	1.0000	1.4184	1.4514
435	1.0000	1.4184	1.4514
436	1.0000	1.4184	1.4514
437	1.0000	1.4184	1.4514
438	1.0000	1.4184	1.4514
439	1.0000	1.4184	1.4514
440	1.0000	1.4184	1.4514
441	1.0000	1.4184	1.4514
442	0.0000	0.0000	0.0000
443	1.0000	1.4184	1.4514
444	1.0000	1.4184	1.4514
445	1.0000	1.4184	1.4514
446	1.0000	1.4184	1.4514
447	1.0000	1.4184	1.4514
448	0.0000	0.0000	0.0000
449	0.0000	0.0000	0.0000
450	0.0000	0.0000	0.0000
451	1.0000	1.4184	1.4514
452	1.0000	1.4184	1.4514
453	1.0000	1.4184	1.4514
454	0.0000	0.0000	0.0000
455	1.0000	1.4184	1.4514
456	0.0000	0.0000	0.0000
457	0.0000	0.0000	0.0000
458	0.0000	0.0000	0.0000
459	1.0000	1.4184	1.4514
460	1.0000	1.4184	1.4514
461	1.0000	1.4184	1.4514
462	1.0000	1.4184	1.4514
463	1.0000	1.4184	1.4514
464	1.0000	1.4184	1.4514
465	1.0000	1.4184	1.4514
466	1.0000	1.4184	1.4514
467	1.0000	1.4184	1.4514
468	0.0000	0.0000	0.0000
469	1.0000	1.4184	1.4514
470	1.0000	1.4184	1.4514
471	1.0000	1.4184	1.4514
472	1.0000	1.4184	1.4514
473	0.0000	0.0000	0.0000
474	0.0000	0.0000	0.0000
475	1.0000	1.4184	1.4514
476	1.0000	1.4184	1.4514
477	1.0000	1.4184	1.4514
478	1.0000	1.4184	1.4514
479	1.0000	1.4184	1.4514
480	0.0000	0.0000	0.0000
481	1.0000	1.4184	1.4514
482	0.0000	0.0000	0.0000
483	1.0000	1.4184	1.4514
484	0.0000	0.0000	0.0000
485	1.0000	1.4184	1.4514
486	1.0000	1.4184	1.4514
487	1.0000	1.4184	1.4514
488	1.0000	1.4184	1.4514
489	1.0000	1.4184	1.4514
490	1.0000	1.4184	1.4514
491	1.0000	1.4184	1.4514
492	1.0000	1.4184	1.4514
493	1.0000	1.4184	1.4514
494	0.0000	0.0000	0.0000
495	1.0000	1.4184	1.4514
496	1.0000	1.4184	1.4514
497	1.0000	1.4184	1.4514
498	0.0000	0.0000	0.0000
499	1.0000	1.4184	1.4514
500	1.0000	1.4184	1.4514
501	1.0000	1.4184	1.4514
502	0.0000	0.0000	0.0000
503	1.0000	1.4184	1.4514
504	1.0000	1.4184	1.4514
505	1.0000	1.4184	1.4514
506	1.0000	1.4184	1.4514
507	0.0000	0.0000	0.0000
508	1.0000	1.4184	1.4514
509	0.0000	0.0000	0.0000
510	0.0000	0.0000	0.0000
511	0.0000	0.0000	0.0000
512	0.0000	0.0000	0.0000
513	1.0000	1.4184	1.4514
514	1.0000	1.4184	1.4514
515	1.0000	1.4184	1.4514
516	1.0000	1.4184	1.4514
517	0.0000	0.0000	0.0000
518	1.0000	1.4184	1.4514
519	0.0000	0.0000	0.0000
520	1.0000	1.4184	1.4514
521	0.0000	0.0000	0.0000
522	1.0000	1.4184	1.4514
523	0.0000	0.0000	0.0000
524	0.0000	0.0000	0.0000
525	0.0000	0.0000	0.0000
526	1.0000	1.4184	1.4514
527	1.0000	1.4184	1.4514
528	0.0000	0.0000	0.0000
529	1.0000	1.4184	1.4514
530	0.0000	0.0000	0.0000
531	0.0000	0.0000	0.0000
532	0.0000	0.0000	0.0000
533	1.0000	1.4184	1.4514
534	1.0000	1.4184	1.4514
535	1.0000	1.4184	1.4514
536	1.0000	1.4184	1.4514
537	1.0000	1.4184	1.4514
538	1.0000	1.4184	1.4514
539	1.0000	1.4184	1.4514
540	1.0000	1.4184	1.4514
541	1.0000	1.4184	1.4514
542	1.0000	1.4184	1.4514
543	1.0000	1.4184	1.4514
544	1.0000	1.4184	1.4514
545	1.0000	1.4184	1.4514
546	1.0000	1.4184	1.4514
547	0.0000	0.0000	0.0000
548	0.0000	0.0000	0.0000
549	1.0000	1.4184	1.4514
550	1.0000	1.4184	1.4514
551	1.0000	1.4184	1.4514
552	1.0000	1.4184	1.4514
553	0.0000	0.0000	0.0000
554	0.0000	0.0000	0.0000
555	1.0000	1.4184	1.4514
556	1.0000	1.4184	1.4514
557	1.0000	1.4184	1.4514
558	1.0000	1.4184	1.4514
559	1.0000	1.4184	1.4514
560	1.0000	1.4184	1.4514
561	1.0000	1.4184	1.4514
