Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	10.0000	1.1055	1.0922
2	10.0000	1.1055	1.0922
3	8.0000	0.8844	0.8737
4	10.0000	1.1055	1.0922
5	10.0000	1.1055	1.0922
6	6.0000	0.6633	0.6553
7	6.0000	0.6633	0.6553
8	10.0000	1.1055	1.0922
9	7.0000	0.7738	0.7645
10	8.0000	0.8844	0.8737
11	7.0000	0.7738	0.7645
12	7.0000	0.7738	0.7645
13	6.0000	0.6633	0.6553
14	6.0000	0.6633	0.6553
15	10.0000	1.1055	1.0922
16	8.0000	0.8844	0.8737
17	8.0000	0.8844	0.8737
18	9.0000	0.9949	0.9830
19	7.0000	0.7738	0.7645
20	7.0000	0.7738	0.7645
21	9.0000	0.9949	0.9830
22	8.0000	0.8844	0.8737
23	10.0000	1.1055	1.0922
24	9.0000	0.9949	0.9830
25	9.0000	0.9949	0.9830
26	9.0000	0.9949	0.9830
27	10.0000	1.1055	1.0922
28	6.0000	0.6633	0.6553
29	11.0000	1.2160	1.2014
30	6.0000	0.6633	0.6553
31	11.0000	1.2160	1.2014
32	12.0000	1.3266	1.3106
33	10.0000	1.1055	1.0922
34	10.0000	1.1055	1.0922
35	6.0000	0.6633	0.6553
36	10.0000	1.1055	1.0922
37	8.0000	0.8844	0.8737
38	11.0000	1.2160	1.2014
39	12.0000	1.3266	1.3106
40	11.0000	1.2160	1.2014
41	11.0000	1.2160	1.2014
42	10.0000	1.1055	1.0922
43	9.0000	0.9949	0.9830
44	6.0000	0.6633	0.6553
45	12.0000	1.3266	1.3106
46	7.0000	0.7738	0.7645
47	10.0000	1.1055	1.0922
48	6.0000	0.6633	0.6553
49	10.0000	1.1055	1.0922
50	10.0000	1.1055	1.0922
51	8.0000	0.8844	0.8737
52	11.0000	1.2160	1.2014
53	10.0000	1.1055	1.0922
54	7.0000	0.7738	0.7645
55	8.0000	0.8844	0.8737
56	11.0000	1.2160	1.2014
57	6.0000	0.6633	0.6553
58	8.0000	0.8844	0.8737
59	10.0000	1.1055	1.0922
60	9.0000	0.9949	0.9830
61	9.0000	0.9949	0.9830
62	4.0000	0.4422	0.4369
63	11.0000	1.2160	1.2014
64	6.0000	0.6633	0.6553
65	6.0000	0.6633	0.6553
66	6.0000	0.6633	0.6553
67	8.0000	0.8844	0.8737
68	6.0000	0.6633	0.6553
69	3.0000	0.3316	0.3277
70	8.0000	0.8844	0.8737
71	10.0000	1.1055	1.0922
72	10.0000	1.1055	1.0922
73	7.0000	0.7738	0.7645
74	10.0000	1.1055	1.0922
75	8.0000	0.8844	0.8737
76	10.0000	1.1055	1.0922
77	8.0000	0.8844	0.8737
78	10.0000	1.1055	1.0922
79	9.0000	0.9949	0.9830
80	8.0000	0.8844	0.8737
81	8.0000	0.8844	0.8737
82	7.0000	0.7738	0.7645
83	8.0000	0.8844	0.8737
84	10.0000	1.1055	1.0922
85	7.0000	0.7738	0.7645
86	10.0000	1.1055	1.0922
87	9.0000	0.9949	0.9830
88	8.0000	0.8844	0.8737
89	10.0000	1.1055	1.0922
90	8.0000	0.8844	0.8737
91	11.0000	1.2160	1.2014
92	6.0000	0.6633	0.6553
93	9.0000	0.9949	0.9830
94	9.0000	0.9949	0.9830
95	7.0000	0.7738	0.7645
96	10.0000	1.1055	1.0922
97	7.0000	0.7738	0.7645
98	7.0000	0.7738	0.7645
99	7.0000	0.7738	0.7645
100	4.0000	0.4422	0.4369
101	8.0000	0.8844	0.8737
102	5.0000	0.5527	0.5461
103	6.0000	0.6633	0.6553
104	10.0000	1.1055	1.0922
105	7.0000	0.7738	0.7645
106	5.0000	0.5527	0.5461
107	8.0000	0.8844	0.8737
108	5.0000	0.5527	0.5461
109	9.0000	0.9949	0.9830
110	8.0000	0.8844	0.8737
111	8.0000	0.8844	0.8737
112	6.0000	0.6633	0.6553
113	9.0000	0.9949	0.9830
114	8.0000	0.8844	0.8737
115	8.0000	0.8844	0.8737
116	7.0000	0.7738	0.7645
117	6.0000	0.6633	0.6553
118	6.0000	0.6633	0.6553
119	9.0000	0.9949	0.9830
120	10.0000	1.1055	1.0922
121	7.0000	0.7738	0.7645
122	9.0000	0.9949	0.9830
123	10.0000	1.1055	1.0922
124	7.0000	0.7738	0.7645
125	9.0000	0.9949	0.9830
126	6.0000	0.6633	0.6553
127	8.0000	0.8844	0.8737
128	10.0000	1.1055	1.0922
129	7.0000	0.7738	0.7645
130	9.0000	0.9949	0.9830
131	10.0000	1.1055	1.0922
132	10.0000	1.1055	1.0922
133	6.0000	0.6633	0.6553
134	12.0000	1.3266	1.3106
135	7.0000	0.7738	0.7645
136	11.0000	1.2160	1.2014
137	10.0000	1.1055	1.0922
138	10.0000	1.1055	1.0922
139	8.0000	0.8844	0.8737
140	6.0000	0.6633	0.6553
141	8.0000	0.8844	0.8737
142	8.0000	0.8844	0.8737
143	10.0000	1.1055	1.0922
144	8.0000	0.8844	0.8737
145	9.0000	0.9949	0.9830
146	7.0000	0.7738	0.7645
147	7.0000	0.7738	0.7645
148	9.0000	0.9949	0.9830
149	6.0000	0.6633	0.6553
150	9.0000	0.9949	0.9830
151	7.0000	0.7738	0.7645
152	8.0000	0.8844	0.8737
153	11.0000	1.2160	1.2014
154	7.0000	0.7738	0.7645
155	7.0000	0.7738	0.7645
156	7.0000	0.7738	0.7645
157	9.0000	0.9949	0.9830
158	10.0000	1.1055	1.0922
159	8.0000	0.8844	0.8737
160	10.0000	1.1055	1.0922
161	10.0000	1.1055	1.0922
162	10.0000	1.1055	1.0922
163	6.0000	0.6633	0.6553
164	8.0000	0.8844	0.8737
165	6.0000	0.6633	0.6553
166	8.0000	0.8844	0.8737
167	10.0000	1.1055	1.0922
168	7.0000	0.7738	0.7645
169	6.0000	0.6633	0.6553
170	6.0000	0.6633	0.6553
171	8.0000	0.8844	0.8737
172	6.0000	0.6633	0.6553
