Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	6.0000	1.1940	1.1721
2	6.0000	1.1940	1.1721
3	6.0000	1.1940	1.1721
4	6.0000	1.1940	1.1721
5	6.0000	1.1940	1.1721
6	3.0000	0.5970	0.5861
7	3.0000	0.5970	0.5861
8	6.0000	1.1940	1.1721
9	6.0000	1.1940	1.1721
10	5.0000	0.9950	0.9768
11	4.0000	0.7960	0.7814
12	6.0000	1.1940	1.1721
13	4.0000	0.7960	0.7814
14	3.0000	0.5970	0.5861
15	6.0000	1.1940	1.1721
16	4.0000	0.7960	0.7814
17	7.0000	1.3930	1.3675
18	4.0000	0.7960	0.7814
19	4.0000	0.7960	0.7814
20	6.0000	1.1940	1.1721
21	4.0000	0.7960	0.7814
22	3.0000	0.5970	0.5861
23	6.0000	1.1940	1.1721
24	2.0000	0.3980	0.3907
25	2.0000	0.3980	0.3907
26	4.0000	0.7960	0.7814
27	4.0000	0.7960	0.7814
28	3.0000	0.5970	0.5861
29	4.0000	0.7960	0.7814
30	5.0000	0.9950	0.9768
31	6.0000	1.1940	1.1721
32	6.0000	1.1940	1.1721
33	6.0000	1.1940	1.1721
34	6.0000	1.1940	1.1721
35	3.0000	0.5970	0.5861
36	6.0000	1.1940	1.1721
37	7.0000	1.3930	1.3675
38	6.0000	1.1940	1.1721
39	6.0000	1.1940	1.1721
40	6.0000	1.1940	1.1721
41	6.0000	1.1940	1.1721
42	6.0000	1.1940	1.1721
43	6.0000	1.1940	1.1721
44	3.0000	0.5970	0.5861
45	4.0000	0.7960	0.7814
46	6.0000	1.1940	1.1721
47	6.0000	1.1940	1.1721
48	3.0000	0.5970	0.5861
49	7.0000	1.3930	1.3675
50	6.0000	1.1940	1.1721
51	6.0000	1.1940	1.1721
52	6.0000	1.1940	1.1721
53	6.0000	1.1940	1.1721
54	4.0000	0.7960	0.7814
55	5.0000	0.9950	0.9768
56	6.0000	1.1940	1.1721
57	3.0000	0.5970	0.5861
58	4.0000	0.7960	0.7814
59	7.0000	1.3930	1.3675
60	6.0000	1.1940	1.1721
61	6.0000	1.1940	1.1721
62	3.0000	0.5970	0.5861
63	6.0000	1.1940	1.1721
64	5.0000	0.9950	0.9768
65	2.0000	0.3980	0.3907
66	5.0000	0.9950	0.9768
67	6.0000	1.1940	1.1721
68	3.0000	0.5970	0.5861
69	2.0000	0.3980	0.3907
70	3.0000	0.5970	0.5861
71	6.0000	1.1940	1.1721
72	6.0000	1.1940	1.1721
73	4.0000	0.7960	0.7814
74	7.0000	1.3930	1.3675
75	6.0000	1.1940	1.1721
76	6.0000	1.1940	1.1721
77	6.0000	1.1940	1.1721
78	7.0000	1.3930	1.3675
79	6.0000	1.1940	1.1721
80	6.0000	1.1940	1.1721
81	6.0000	1.1940	1.1721
82	4.0000	0.7960	0.7814
83	4.0000	0.7960	0.7814
84	6.0000	1.1940	1.1721
85	6.0000	1.1940	1.1721
86	6.0000	1.1940	1.1721
87	6.0000	1.1940	1.1721
88	4.0000	0.7960	0.7814
89	7.0000	1.3930	1.3675
90	3.0000	0.5970	0.5861
91	4.0000	0.7960	0.7814
92	2.0000	0.3980	0.3907
93	6.0000	1.1940	1.1721
94	0.0000	0.0000	0.0000
95	4.0000	0.7960	0.7814
96	6.0000	1.1940	1.1721
97	4.0000	0.7960	0.7814
98	4.0000	0.7960	0.7814
99	4.0000	0.7960	0.7814
100	3.0000	0.5970	0.5861
101	4.0000	0.7960	0.7814
102	4.0000	0.7960	0.7814
103	6.0000	1.1940	1.1721
104	6.0000	1.1940	1.1721
105	6.0000	1.1940	1.1721
106	2.0000	0.3980	0.3907
107	5.0000	0.9950	0.9768
108	2.0000	0.3980	0.3907
109	6.0000	1.1940	1.1721
110	4.0000	0.7960	0.7814
111	6.0000	1.1940	1.1721
112	2.0000	0.3980	0.3907
113	4.0000	0.7960	0.7814
114	7.0000	1.3930	1.3675
115	7.0000	1.3930	1.3675
116	4.0000	0.7960	0.7814
117	3.0000	0.5970	0.5861
118	2.0000	0.3980	0.3907
119	6.0000	1.1940	1.1721
120	6.0000	1.1940	1.1721
121	6.0000	1.1940	1.1721
122	4.0000	0.7960	0.7814
123	7.0000	1.3930	1.3675
124	4.0000	0.7960	0.7814
125	6.0000	1.1940	1.1721
126	5.0000	0.9950	0.9768
127	4.0000	0.7960	0.7814
128	6.0000	1.1940	1.1721
129	6.0000	1.1940	1.1721
130	4.0000	0.7960	0.7814
131	7.0000	1.3930	1.3675
132	6.0000	1.1940	1.1721
133	3.0000	0.5970	0.5861
134	4.0000	0.7960	0.7814
135	6.0000	1.1940	1.1721
136	6.0000	1.1940	1.1721
137	6.0000	1.1940	1.1721
138	7.0000	1.3930	1.3675
139	7.0000	1.3930	1.3675
140	3.0000	0.5970	0.5861
141	4.0000	0.7960	0.7814
142	6.0000	1.1940	1.1721
143	6.0000	1.1940	1.1721
144	3.0000	0.5970	0.5861
145	6.0000	1.1940	1.1721
146	4.0000	0.7960	0.7814
147	6.0000	1.1940	1.1721
148	6.0000	1.1940	1.1721
149	4.0000	0.7960	0.7814
150	6.0000	1.1940	1.1721
151	6.0000	1.1940	1.1721
152	4.0000	0.7960	0.7814
153	6.0000	1.1940	1.1721
154	6.0000	1.1940	1.1721
155	6.0000	1.1940	1.1721
156	6.0000	1.1940	1.1721
157	4.0000	0.7960	0.7814
