Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.0000	1.0908	1.0902
2	4.0000	1.0908	1.0902
3	4.0000	1.0908	1.0902
4	4.0000	1.0908	1.0902
5	4.0000	1.0908	1.0902
6	3.0000	0.8181	0.8177
7	2.0000	0.5454	0.5451
8	4.0000	1.0908	1.0902
9	4.0000	1.0908	1.0902
10	4.0000	1.0908	1.0902
11	4.0000	1.0908	1.0902
12	4.0000	1.0908	1.0902
13	3.0000	0.8181	0.8177
14	3.0000	0.8181	0.8177
15	4.0000	1.0908	1.0902
16	3.0000	0.8181	0.8177
17	4.0000	1.0908	1.0902
18	4.0000	1.0908	1.0902
19	3.0000	0.8181	0.8177
20	4.0000	1.0908	1.0902
21	4.0000	1.0908	1.0902
22	3.0000	0.8181	0.8177
23	4.0000	1.0908	1.0902
24	3.0000	0.8181	0.8177
25	3.0000	0.8181	0.8177
26	4.0000	1.0908	1.0902
27	4.0000	1.0908	1.0902
28	3.0000	0.8181	0.8177
29	4.0000	1.0908	1.0902
30	4.0000	1.0908	1.0902
31	4.0000	1.0908	1.0902
32	4.0000	1.0908	1.0902
33	4.0000	1.0908	1.0902
34	4.0000	1.0908	1.0902
35	3.0000	0.8181	0.8177
36	4.0000	1.0908	1.0902
37	4.0000	1.0908	1.0902
38	4.0000	1.0908	1.0902
39	4.0000	1.0908	1.0902
40	4.0000	1.0908	1.0902
41	4.0000	1.0908	1.0902
42	4.0000	1.0908	1.0902
43	4.0000	1.0908	1.0902
44	2.0000	0.5454	0.5451
45	4.0000	1.0908	1.0902
46	4.0000	1.0908	1.0902
47	4.0000	1.0908	1.0902
48	3.0000	0.8181	0.8177
49	4.0000	1.0908	1.0902
50	4.0000	1.0908	1.0902
51	4.0000	1.0908	1.0902
52	4.0000	1.0908	1.0902
53	4.0000	1.0908	1.0902
54	3.0000	0.8181	0.8177
55	4.0000	1.0908	1.0902
56	4.0000	1.0908	1.0902
57	2.0000	0.5454	0.5451
58	3.0000	0.8181	0.8177
59	4.0000	1.0908	1.0902
60	4.0000	1.0908	1.0902
61	4.0000	1.0908	1.0902
62	3.0000	0.8181	0.8177
63	4.0000	1.0908	1.0902
64	4.0000	1.0908	1.0902
65	2.0000	0.5454	0.5451
66	4.0000	1.0908	1.0902
67	4.0000	1.0908	1.0902
68	3.0000	0.8181	0.8177
69	2.0000	0.5454	0.5451
70	3.0000	0.8181	0.8177
71	4.0000	1.0908	1.0902
72	4.0000	1.0908	1.0902
73	3.0000	0.8181	0.8177
74	4.0000	1.0908	1.0902
75	4.0000	1.0908	1.0902
76	4.0000	1.0908	1.0902
77	4.0000	1.0908	1.0902
78	4.0000	1.0908	1.0902
79	4.0000	1.0908	1.0902
