Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	3.0000	1.1610	1.1385
2	3.0000	1.1610	1.1385
3	3.0000	1.1610	1.1385
4	3.0000	1.1610	1.1385
5	3.0000	1.1610	1.1385
6	2.0000	0.7740	0.7590
7	1.0000	0.3870	0.3795
8	3.0000	1.1610	1.1385
9	3.0000	1.1610	1.1385
10	3.0000	1.1610	1.1385
11	3.0000	1.1610	1.1385
12	3.0000	1.1610	1.1385
13	2.0000	0.7740	0.7590
14	2.0000	0.7740	0.7590
15	3.0000	1.1610	1.1385
16	2.0000	0.7740	0.7590
17	3.0000	1.1610	1.1385
18	2.0000	0.7740	0.7590
19	2.0000	0.7740	0.7590
20	3.0000	1.1610	1.1385
21	2.0000	0.7740	0.7590
22	2.0000	0.7740	0.7590
23	3.0000	1.1610	1.1385
24	1.0000	0.3870	0.3795
25	1.0000	0.3870	0.3795
26	3.0000	1.1610	1.1385
27	3.0000	1.1610	1.1385
28	2.0000	0.7740	0.7590
29	3.0000	1.1610	1.1385
30	3.0000	1.1610	1.1385
31	3.0000	1.1610	1.1385
32	3.0000	1.1610	1.1385
33	3.0000	1.1610	1.1385
34	3.0000	1.1610	1.1385
35	2.0000	0.7740	0.7590
36	3.0000	1.1610	1.1385
37	3.0000	1.1610	1.1385
38	3.0000	1.1610	1.1385
39	3.0000	1.1610	1.1385
40	3.0000	1.1610	1.1385
41	3.0000	1.1610	1.1385
42	3.0000	1.1610	1.1385
43	3.0000	1.1610	1.1385
44	1.0000	0.3870	0.3795
45	2.0000	0.7740	0.7590
46	3.0000	1.1610	1.1385
47	3.0000	1.1610	1.1385
48	2.0000	0.7740	0.7590
49	3.0000	1.1610	1.1385
50	3.0000	1.1610	1.1385
51	3.0000	1.1610	1.1385
52	3.0000	1.1610	1.1385
53	3.0000	1.1610	1.1385
54	2.0000	0.7740	0.7590
55	3.0000	1.1610	1.1385
56	3.0000	1.1610	1.1385
57	1.0000	0.3870	0.3795
58	2.0000	0.7740	0.7590
59	3.0000	1.1610	1.1385
60	3.0000	1.1610	1.1385
61	3.0000	1.1610	1.1385
62	2.0000	0.7740	0.7590
63	3.0000	1.1610	1.1385
64	3.0000	1.1610	1.1385
65	1.0000	0.3870	0.3795
66	3.0000	1.1610	1.1385
67	3.0000	1.1610	1.1385
68	2.0000	0.7740	0.7590
69	1.0000	0.3870	0.3795
70	2.0000	0.7740	0.7590
71	3.0000	1.1610	1.1385
72	3.0000	1.1610	1.1385
73	2.0000	0.7740	0.7590
74	3.0000	1.1610	1.1385
75	3.0000	1.1610	1.1385
76	3.0000	1.1610	1.1385
77	3.0000	1.1610	1.1385
78	3.0000	1.1610	1.1385
79	3.0000	1.1610	1.1385
80	3.0000	1.1610	1.1385
81	3.0000	1.1610	1.1385
82	2.0000	0.7740	0.7590
83	2.0000	0.7740	0.7590
84	3.0000	1.1610	1.1385
85	3.0000	1.1610	1.1385
86	3.0000	1.1610	1.1385
87	3.0000	1.1610	1.1385
88	2.0000	0.7740	0.7590
89	3.0000	1.1610	1.1385
90	2.0000	0.7740	0.7590
91	3.0000	1.1610	1.1385
92	1.0000	0.3870	0.3795
93	3.0000	1.1610	1.1385
94	0.0000	0.0000	0.0000
95	2.0000	0.7740	0.7590
96	3.0000	1.1610	1.1385
97	2.0000	0.7740	0.7590
98	2.0000	0.7740	0.7590
99	2.0000	0.7740	0.7590
100	2.0000	0.7740	0.7590
101	2.0000	0.7740	0.7590
102	2.0000	0.7740	0.7590
103	3.0000	1.1610	1.1385
104	3.0000	1.1610	1.1385
105	3.0000	1.1610	1.1385
106	1.0000	0.3870	0.3795
107	3.0000	1.1610	1.1385
108	1.0000	0.3870	0.3795
109	3.0000	1.1610	1.1385
110	2.0000	0.7740	0.7590
111	3.0000	1.1610	1.1385
112	1.0000	0.3870	0.3795
113	3.0000	1.1610	1.1385
114	3.0000	1.1610	1.1385
115	3.0000	1.1610	1.1385
116	2.0000	0.7740	0.7590
117	2.0000	0.7740	0.7590
118	1.0000	0.3870	0.3795
119	3.0000	1.1610	1.1385
120	3.0000	1.1610	1.1385
121	3.0000	1.1610	1.1385
122	2.0000	0.7740	0.7590
123	3.0000	1.1610	1.1385
124	3.0000	1.1610	1.1385
125	3.0000	1.1610	1.1385
126	3.0000	1.1610	1.1385
127	3.0000	1.1610	1.1385
128	3.0000	1.1610	1.1385
129	3.0000	1.1610	1.1385
130	2.0000	0.7740	0.7590
131	3.0000	1.1610	1.1385
132	3.0000	1.1610	1.1385
133	2.0000	0.7740	0.7590
134	2.0000	0.7740	0.7590
135	3.0000	1.1610	1.1385
136	3.0000	1.1610	1.1385
137	3.0000	1.1610	1.1385
138	3.0000	1.1610	1.1385
139	3.0000	1.1610	1.1385
140	1.0000	0.3870	0.3795
141	2.0000	0.7740	0.7590
142	3.0000	1.1610	1.1385
143	3.0000	1.1610	1.1385
144	2.0000	0.7740	0.7590
145	3.0000	1.1610	1.1385
146	3.0000	1.1610	1.1385
147	3.0000	1.1610	1.1385
148	3.0000	1.1610	1.1385
149	2.0000	0.7740	0.7590
150	3.0000	1.1610	1.1385
151	3.0000	1.1610	1.1385
152	2.0000	0.7740	0.7590
153	3.0000	1.1610	1.1385
154	3.0000	1.1610	1.1385
155	3.0000	1.1610	1.1385
156	3.0000	1.1610	1.1385
157	2.0000	0.7740	0.7590
158	3.0000	1.1610	1.1385
159	2.0000	0.7740	0.7590
160	3.0000	1.1610	1.1385
161	3.0000	1.1610	1.1385
162	3.0000	1.1610	1.1385
163	2.0000	0.7740	0.7590
164	3.0000	1.1610	1.1385
165	2.0000	0.7740	0.7590
166	2.0000	0.7740	0.7590
167	3.0000	1.1610	1.1385
168	2.0000	0.7740	0.7590
169	2.0000	0.7740	0.7590
170	3.0000	1.1610	1.1385
171	3.0000	1.1610	1.1385
172	2.0000	0.7740	0.7590
173	3.0000	1.1610	1.1385
174	2.0000	0.7740	0.7590
175	3.0000	1.1610	1.1385
176	3.0000	1.1610	1.1385
177	3.0000	1.1610	1.1385
178	3.0000	1.1610	1.1385
179	2.0000	0.7740	0.7590
180	3.0000	1.1610	1.1385
181	2.0000	0.7740	0.7590
182	2.0000	0.7740	0.7590
183	2.0000	0.7740	0.7590
184	3.0000	1.1610	1.1385
185	2.0000	0.7740	0.7590
186	3.0000	1.1610	1.1385
187	3.0000	1.1610	1.1385
188	3.0000	1.1610	1.1385
189	3.0000	1.1610	1.1385
190	3.0000	1.1610	1.1385
191	3.0000	1.1610	1.1385
192	2.0000	0.7740	0.7590
193	1.0000	0.3870	0.3795
194	3.0000	1.1610	1.1385
195	3.0000	1.1610	1.1385
196	3.0000	1.1610	1.1385
197	3.0000	1.1610	1.1385
198	3.0000	1.1610	1.1385
199	2.0000	0.7740	0.7590
200	3.0000	1.1610	1.1385
201	2.0000	0.7740	0.7590
202	3.0000	1.1610	1.1385
203	3.0000	1.1610	1.1385
204	3.0000	1.1610	1.1385
205	3.0000	1.1610	1.1385
206	2.0000	0.7740	0.7590
207	3.0000	1.1610	1.1385
208	3.0000	1.1610	1.1385
209	3.0000	1.1610	1.1385
210	2.0000	0.7740	0.7590
211	2.0000	0.7740	0.7590
212	3.0000	1.1610	1.1385
213	3.0000	1.1610	1.1385
214	3.0000	1.1610	1.1385
215	3.0000	1.1610	1.1385
216	2.0000	0.7740	0.7590
217	2.0000	0.7740	0.7590
218	2.0000	0.7740	0.7590
219	2.0000	0.7740	0.7590
220	3.0000	1.1610	1.1385
221	1.0000	0.3870	0.3795
222	3.0000	1.1610	1.1385
223	3.0000	1.1610	1.1385
224	3.0000	1.1610	1.1385
225	2.0000	0.7740	0.7590
226	3.0000	1.1610	1.1385
227	3.0000	1.1610	1.1385
228	3.0000	1.1610	1.1385
229	3.0000	1.1610	1.1385
230	2.0000	0.7740	0.7590
231	3.0000	1.1610	1.1385
232	3.0000	1.1610	1.1385
233	3.0000	1.1610	1.1385
234	2.0000	0.7740	0.7590
235	3.0000	1.1610	1.1385
236	2.0000	0.7740	0.7590
237	3.0000	1.1610	1.1385
238	2.0000	0.7740	0.7590
239	3.0000	1.1610	1.1385
240	3.0000	1.1610	1.1385
241	3.0000	1.1610	1.1385
242	3.0000	1.1610	1.1385
243	3.0000	1.1610	1.1385
244	3.0000	1.1610	1.1385
245	3.0000	1.1610	1.1385
246	3.0000	1.1610	1.1385
247	3.0000	1.1610	1.1385
248	3.0000	1.1610	1.1385
249	1.0000	0.3870	0.3795
250	3.0000	1.1610	1.1385
251	3.0000	1.1610	1.1385
252	3.0000	1.1610	1.1385
253	2.0000	0.7740	0.7590
254	2.0000	0.7740	0.7590
255	3.0000	1.1610	1.1385
256	3.0000	1.1610	1.1385
257	3.0000	1.1610	1.1385
258	3.0000	1.1610	1.1385
259	2.0000	0.7740	0.7590
260	1.0000	0.3870	0.3795
261	3.0000	1.1610	1.1385
262	3.0000	1.1610	1.1385
263	3.0000	1.1610	1.1385
264	2.0000	0.7740	0.7590
265	1.0000	0.3870	0.3795
266	3.0000	1.1610	1.1385
267	3.0000	1.1610	1.1385
268	1.0000	0.3870	0.3795
269	2.0000	0.7740	0.7590
270	3.0000	1.1610	1.1385
271	2.0000	0.7740	0.7590
272	3.0000	1.1610	1.1385
273	3.0000	1.1610	1.1385
274	3.0000	1.1610	1.1385
275	3.0000	1.1610	1.1385
276	3.0000	1.1610	1.1385
277	3.0000	1.1610	1.1385
278	3.0000	1.1610	1.1385
279	3.0000	1.1610	1.1385
280	3.0000	1.1610	1.1385
281	2.0000	0.7740	0.7590
282	3.0000	1.1610	1.1385
283	3.0000	1.1610	1.1385
284	2.0000	0.7740	0.7590
285	2.0000	0.7740	0.7590
286	3.0000	1.1610	1.1385
287	3.0000	1.1610	1.1385
288	2.0000	0.7740	0.7590
289	3.0000	1.1610	1.1385
290	3.0000	1.1610	1.1385
291	3.0000	1.1610	1.1385
292	3.0000	1.1610	1.1385
293	3.0000	1.1610	1.1385
294	3.0000	1.1610	1.1385
295	2.0000	0.7740	0.7590
296	3.0000	1.1610	1.1385
297	3.0000	1.1610	1.1385
298	3.0000	1.1610	1.1385
299	3.0000	1.1610	1.1385
300	3.0000	1.1610	1.1385
301	3.0000	1.1610	1.1385
302	3.0000	1.1610	1.1385
303	1.0000	0.3870	0.3795
304	3.0000	1.1610	1.1385
305	3.0000	1.1610	1.1385
306	2.0000	0.7740	0.7590
307	3.0000	1.1610	1.1385
308	1.0000	0.3870	0.3795
309	1.0000	0.3870	0.3795
310	3.0000	1.1610	1.1385
311	3.0000	1.1610	1.1385
312	3.0000	1.1610	1.1385
313	2.0000	0.7740	0.7590
314	3.0000	1.1610	1.1385
315	3.0000	1.1610	1.1385
316	3.0000	1.1610	1.1385
317	2.0000	0.7740	0.7590
318	2.0000	0.7740	0.7590
319	3.0000	1.1610	1.1385
320	0.0000	0.0000	0.0000
321	2.0000	0.7740	0.7590
322	3.0000	1.1610	1.1385
323	2.0000	0.7740	0.7590
324	3.0000	1.1610	1.1385
325	2.0000	0.7740	0.7590
326	3.0000	1.1610	1.1385
327	3.0000	1.1610	1.1385
328	3.0000	1.1610	1.1385
329	3.0000	1.1610	1.1385
330	3.0000	1.1610	1.1385
331	3.0000	1.1610	1.1385
332	3.0000	1.1610	1.1385
333	3.0000	1.1610	1.1385
334	3.0000	1.1610	1.1385
335	2.0000	0.7740	0.7590
336	3.0000	1.1610	1.1385
337	3.0000	1.1610	1.1385
338	3.0000	1.1610	1.1385
339	2.0000	0.7740	0.7590
340	3.0000	1.1610	1.1385
341	3.0000	1.1610	1.1385
342	3.0000	1.1610	1.1385
343	2.0000	0.7740	0.7590
344	3.0000	1.1610	1.1385
345	3.0000	1.1610	1.1385
346	3.0000	1.1610	1.1385
347	3.0000	1.1610	1.1385
348	3.0000	1.1610	1.1385
349	3.0000	1.1610	1.1385
350	1.0000	0.3870	0.3795
351	3.0000	1.1610	1.1385
352	3.0000	1.1610	1.1385
